model,method_key,condition,estimand,n_datasets,mean_lift_pct,median_lift_pct,median_ci95_low_pct,median_ci95_high_pct,median_ci_coverage,ci95_low_pct,ci95_high_pct,wins,ties,losses,win_rate_decided,win_ci95_low,win_ci95_high,t_p_positive,t_p_negative,sign_p_positive,sign_p_negative,p10_lift_pct,p90_lift_pct,worst_lift_pct,best_lift_pct,finite_denominator_consistent
tabpfn,freq_ratio_log__sel_combined_intersection,classification_with_metric,log_loss_reduction_pct,30,0.04157486930767633,-0.04054296017323793,-0.10245249426973174,0.062078303012428365,0.9572260547429323,-0.359546747679175,0.4426964862945277,10,0,20,0.3333333333333333,0.17287422152603918,0.5281200447898806,0.4168023566915419,0.583197643308458,0.9786130273714662,0.049368573352694525,-0.4866119324446844,0.7617431626563465,-3.058656214240169,4.208456974770078,True
tabpfn,freq_ratio_log__sel_combined_intersection,classification_with_metric,primary_absolute_error_decrease,35,0.0005453986585141448,0.00012844556923397032,-0.00015059814849283093,0.0006127428794193979,0.959040408488363,2.701289947403538e-05,0.001063784417554254,21,0,14,0.6,0.42111772188209984,0.7612918895466584,0.01988813810484509,0.980111861895155,0.15525232953950768,0.912267375504598,-0.0007436751046679262,0.002548621265599505,-0.0025934881534094845,0.004530217134158812,True
tabpfn,freq_ratio_log__sel_combined_intersection,classification_with_metric,primary_headroom_reduction_pct,30,1.0141651754980612,0.2450135436686947,-0.08080231830414526,0.757592200519717,0.9572260547429323,0.1464958212346369,1.8818345297614854,18,0,12,0.6,0.4060349300518186,0.7734423511714064,0.011769038564106977,0.9882309614358931,0.18079730402678257,0.8997557889670134,-0.489077899832697,5.410174519251762,-1.4457740079734955,8.428313066280126,True
tabpfn,freq_ratio_log__sel_combined_union,all_datasets,relative_percent,45,1.105575811835035,-0.0039389451638852,-0.1745484557946975,0.5129730983606514,0.9643021964448053,0.05206253858118104,2.1590890850888886,22,0,23,0.4888888888888889,0.3370337483927935,0.6422596143299697,0.020066143700062336,0.9799338562999377,0.6170040878776035,0.5,-0.9645282752366635,5.0088389286209765,-6.5036407072443865,16.025265142009776,True
tabpfn,freq_ratio_log__sel_combined_union,classification_only,relative_percent,30,0.6015118133339115,-0.03690757535290365,-0.3230461027024452,0.614044579391265,0.9572260547429323,-0.40421137309501365,1.6072349997628366,14,0,16,0.4666666666666667,0.283418079183537,0.6567447618392659,0.11554518424395363,0.8844548157560463,0.707667644135654,0.42776777595281607,-1.1451103449150921,3.898480623135107,-6.5036407072443865,8.398180072022424,True
tabpfn,freq_ratio_log__sel_combined_union,regression_only,relative_percent,15,2.113703808837282,0.0302740705034356,-0.2538424261161633,1.7153200938971154,0.96484375,-0.48295161211909043,4.710359229793655,8,0,7,0.5333333333333333,0.26586134727739663,0.7873332704806921,0.05136404956989702,0.948635950430103,0.4999999999999999,0.696380615234375,-0.4117673155085503,7.659388822903982,-0.7653537507861036,16.025265142009776,True
tabpfn,freq_ratio_log__sel_combined_union,mechanism_possible_n_cat_gt_0,relative_percent,32,1.1878741723175121,0.09060499720785076,-0.2538424261161633,0.614044579391265,0.9799383929930627,-0.20190426492480307,2.577652609559827,17,0,15,0.53125,0.34743680928639276,0.7090601770939846,0.045603949993289324,0.9543960500067107,0.4300250329542905,0.7016925520729274,-0.9827908613630851,5.171861035193964,-6.5036407072443865,16.025265142009776,True
tabpfn,freq_ratio_log__sel_combined_union,no_categorical_columns,relative_percent,13,0.902995232185861,-0.0768488562741658,-0.5118548959475013,1.7153200938971154,0.9775390625,-0.6540789668157119,2.460069431187434,5,0,8,0.38461538461538464,0.1385793388901606,0.6842223970859369,0.11519208649398843,0.8848079135060116,0.8665771484375,0.29052734375,-0.7487376833114122,2.9304799742643173,-1.5781779433213696,8.398180072022424,True
tabpfn,freq_ratio_log__sel_combined_union,estimator_sensitivity_lift_pct,relative_percent,45,1.1174566928780123,0.0096852045827771,-0.2036531243450329,0.5129730983606514,0.9643021964448053,0.06573119998169497,2.1691821857743294,24,0,21,0.5333333333333333,0.37872001608746453,0.6833991770025765,0.018912388236958507,0.9810876117630415,0.3829959121223965,0.7242578350987401,-0.9445330688482092,4.945292555184347,-5.818608177179967,16.126740876654164,True
tabpfn,freq_ratio_log__sel_combined_union,source_equal,relative_percent,34,1.2637349234696276,0.004638871252667499,-0.2783132696531085,1.546367657576054,0.9756934898905456,-0.08348582874732546,2.6109556756865806,17,0,17,0.5,0.32426927002132083,0.6757307299786791,0.032532535774734576,0.9674674642252654,0.5679168797796592,0.5679168797796592,-1.064557723030533,4.801741600032004,-6.5036407072443865,16.025265142009776,True
