model,dataset,dataset_family,domain_auc,shift_bin,near_perfect_base,n_target_variants,n_harmful_excluded_using_other_datasets,n_variants_retained_with_relative_effect,mean_retained_pct,median_retained_pct,frac_retained_positive,profile_status,best_retained_variants
bag8,synthetic_small_test,synthetic,0.6399588,0.55 <= DAUC < 0.75,False,144,72,72,-0.15843104853394957,-0.08385475108248,0.041666666666666664,descriptive_correlated_variants_no_ci,cluster_membership_k5_feature:0.116233;groupby_shift_ratio_log:0.020350;groupby_shift_ratio_raw:0.020350;freq_ratio_log__sel_combined_intersection:0.000000;groupby_shift_cohen_d__sel_combined_intersection:0.000000
bag8,tabred_cooking_time,TabReD,0.7766422000000001,0.75 <= DAUC < 0.95,False,124,67,57,-0.04425655874530989,-0.0479973263956393,0.03508771929824561,descriptive_correlated_variants_no_ci,ot_disp_v2_selective_abs:0.085612;cluster_membership_k10_weight:0.028872;freq_ratio_log__sel_combined_intersection:-0.000032;joint_freq_combined__sel_combined_intersection:-0.000032;joint_freq_separate__sel_combined_intersection:-0.000032
bag8,tabred_delivery_eta,TabReD,0.9451161,0.75 <= DAUC < 0.95,False,121,66,55,-0.03487797928162932,0.0,0.43636363636363634,descriptive_correlated_variants_no_ci,groupby_shift_cohen_d__sel_combined_intersection:0.062879;groupby_shift_cohen_d_min10:0.060567;groupby_shift_ratio_raw:0.060567;joint_groupby_mean_only:0.060567;joint_groupby_combined__sel_combined_intersection:0.048086
bag8,tabred_delivery_eta__gap_far,TabReD_gap,0.999999625,DAUC >= 0.95,False,135,73,62,-4.156205188777818,0.0,0.3870967741935484,descriptive_correlated_variants_no_ci,ot_disp_v2_selective_abs:0.223219;cluster_membership_k10_feature:0.222869;joint_tsne_2d_p30:0.219747;train_only_scaling:0.164595;pca_train_only_var95:0.140717
bag8,tabred_delivery_eta__gap_maxdiff,TabReD_gap,1.0,DAUC >= 0.95,False,135,73,62,0.04590099825005644,0.0,0.4838709677419355,descriptive_correlated_variants_no_ci,joint_tsne_2d_p30:0.507932;joint_tsne_2d_p50:0.408987;groupby_shift_cohen_d:0.403921;groupby_shift_cohen_d_min10:0.403921;groupby_shift_ratio_log:0.403921
bag8,tabred_delivery_eta__gap_near,TabReD_gap,0.946211,0.75 <= DAUC < 0.95,False,135,73,62,0.16592654333182325,0.0456655440164075,0.5,descriptive_correlated_variants_no_ci,target_enc_oof_absolute:0.542086;target_enc_oof_diff:0.542086;target_enc_oof_inv_ratio:0.542086;target_enc_oof_ratio:0.542086;target_enc_oof_ratio_cap5:0.542086
bag8,tabred_ecom_offers,TabReD,1.0,DAUC >= 0.95,False,142,74,68,0.13303595649311523,0.0,0.38235294117647056,descriptive_correlated_variants_no_ci,pseudo_label_lgbm_conf90_iter3:2.753429;pseudo_label_lgbm_conf95_iter3:2.377141;adversarial_reweight_lgbm_cal_iso_ratio_winsorize:2.224674;pca_train_only_10:1.326811;pseudo_label_lgbm_conf90_iter1:1.201271
bag8,tabred_homesite,TabReD,1.0,DAUC >= 0.95,False,128,64,64,-6.412602080011494,0.12861279621696137,0.625,descriptive_correlated_variants_no_ci,targeted_groupby_top3:1.850155;targeted_groupby_top5:1.694433;joint_freq_combined:1.532113;targeted_groupby_top5_shifted_agg:1.471449;freq_ratio_v2_ratio_gated:1.425814
bag8,tabred_homesite__gap_far,TabReD_gap,1.0,DAUC >= 0.95,False,144,75,69,-12.512320727721029,0.4051063208577393,0.5072463768115942,descriptive_correlated_variants_no_ci,pseudo_label_lgbm_conf90_iter3:17.879162;pseudo_label_lgbm_conf90_iter1:14.326530;pseudo_label_v2_cal_platt_wprop_conf90:12.841140;pseudo_label_lgbm_conf95_iter3:6.969445;target_enc_oof_inv_ratio:6.030714
bag8,tabred_homesite__gap_near,TabReD_gap,1.0,DAUC >= 0.95,False,144,75,69,-16.481334908623065,-0.1888295518251007,0.43478260869565216,descriptive_correlated_variants_no_ci,ot_disp_v2_selective_abs:2.103679;freq_ratio_log__sel_combined_intersection:1.368424;joint_scaling:1.269879;freq_ratio_v2_ratio_ungated:1.264568;freq_ratio_v2_diff_gated:1.233883
bag8,tabred_sberbank,TabReD,1.0,DAUC >= 0.95,False,132,72,60,-0.6913829720320585,-0.2990789698085106,0.3333333333333333,descriptive_correlated_variants_no_ci,joint_tsne_2d_p30:1.315449;joint_scaling:1.187278;groupby_shift_cohen_d__sel_combined_union:1.186323;groupby_shift_cohen_d_min10:1.122081;joint_tsne_2d_p50:1.035759
bag8,tabred_sberbank__gap_far,TabReD_gap,1.0,DAUC >= 0.95,False,134,72,62,0.11225594166221795,0.4736867117981732,0.5483870967741935,descriptive_correlated_variants_no_ci,ot_disp_v2_selective_abs:2.870368;target_enc_diff:2.050228;target_enc_standard_m10:2.050228;groupby_shift_cohen_d:2.003191;freq_ratio_log:2.002658
bag8,tabred_sberbank__gap_near,TabReD_gap,1.0,DAUC >= 0.95,False,134,72,62,0.038718830260018954,0.12429451963084179,0.6290322580645161,descriptive_correlated_variants_no_ci,joint_tsne_2d_p50:1.781745;pca_train_only_10:1.174015;groupby_shift_ratio_raw:0.823806;target_enc_ratio__sel_combined_union:0.758635;target_enc_ratio:0.758274
bag8,tabred_weather,TabReD,0.9948407,DAUC >= 0.95,False,127,66,61,-0.2609195030091198,0.0,0.19672131147540983,descriptive_correlated_variants_no_ci,train_only_scaling:0.162220;adversarial_reweight_lgbm_cal_iso_ratio_hard_tempered:0.142884;adversarial_reweight_lgbm_raw_hard:0.132478;joint_groupby_combined__sel_combined_union:0.043032;joint_scaling:0.028958
bag8,tabred_weather__gap_far,TabReD_gap,1.0,DAUC >= 0.95,False,134,72,62,-25.704296060200353,0.0,0.1935483870967742,descriptive_correlated_variants_no_ci,joint_scaling:0.285119;cluster_membership_k5_feature:0.208498;cluster_membership_k10_feature_cumshift:0.193365;cluster_membership_k10_feature:0.148188;cluster_membership_k10_weight:0.144487
bag8,tabred_weather__gap_maxdiff,TabReD_gap,1.0,DAUC >= 0.95,False,135,73,62,-23.340409605178575,0.0,0.3548387096774194,descriptive_correlated_variants_no_ci,ot_disp_v2_selective_abs:1.402784;cluster_membership_k10_weight:0.802408;groupby_train_only:0.259540;joint_tsne_2d_p30:0.173022;cluster_membership_k5_feature:0.090019
bag8,tabred_weather__gap_near,TabReD_gap,1.0,DAUC >= 0.95,False,135,73,62,-25.258418612122647,0.0,0.14516129032258066,descriptive_correlated_variants_no_ci,joint_tsne_2d_p50:0.538692;joint_tsne_2d_p30:0.319758;adversarial_reweight_lgbm_ratio_winsorize_tempered:0.085802;joint_scaling:0.083451;cluster_membership_k10_feature:0.031734
bag8,taiwanese_bankruptcy_prediction,TabArena_IID,0.4813707690648705,DAUC < 0.55,False,144,71,73,-0.9105865142949849,0.0,0.0821917808219178,descriptive_correlated_variants_no_ci,joint_scaling:1.810604;pseudo_label_v2_cal_iso_wprop_conf90:1.241539;adversarial_reweight_lgbm_cal_iso_ratio_hard_tempered:0.886617;cluster_membership_k10_weight:0.677555;adversarial_reweight_lgbm_cal_iso_ratio_winsorize:0.406027
bag8,tschalzev_mbgm,tschalzev_IID,0.5283598093648937,DAUC < 0.55,False,135,72,63,-0.09681032929074133,-0.0085318454460599,0.42857142857142855,descriptive_correlated_variants_no_ci,freq_enc_train_only:0.349362;groupby_shift_ratio_log:0.271121;joint_freq_combined__sel_combined_intersection:0.248601;joint_freq_combined:0.247806;joint_freq_combined__sel_combined_union:0.247806
bag8,tschalzev_ogpcc,tschalzev_IID,0.498779,DAUC < 0.55,False,143,72,71,-1.409346767166533,-8.637910257270358e-05,0.2535211267605634,descriptive_correlated_variants_no_ci,joint_tsne_2d_p50:1.982024;joint_tsne_2d_p30:1.680887;adversarial_reweight_lgbm_cal_iso_ratio_hard_tempered:0.842114;adversarial_reweight_lgbm_ratio_winsorize_tempered:0.392501;freq_ratio_log__sel_combined_intersection:0.313962
