model,method_key,method_role,family,n_sources,mean_lift_pct,median_lift_pct,median_ci95_low_pct,median_ci95_high_pct,median_ci_coverage,ci95_low_pct,ci95_high_pct,wins,ties,losses,win_rate_decided,win_ci95_low,win_ci95_high,t_p_positive,t_p_negative,sign_p_positive,sign_p_negative,p10_lift_pct,p90_lift_pct,worst_lift_pct,best_lift_pct,finite_denominator_consistent,n_datasets,t_p_positive_bh,t_p_positive_holm,t_p_negative_bh,t_p_negative_holm,sign_p_positive_bh,sign_p_positive_holm,sign_p_negative_bh,sign_p_negative_holm,positive_mean_ci,negative_mean_ci,reliable_positive_strict,consistently_harmful_strict,never_exceeds_inductive
tabpfn,ot_disp_v2_selective_and_summary,test_time_variant,M9_ot_displacement,33,-5.776338176443275,-1.844973111663479,-3.55684361741013,-0.8485644579193954,0.9649179666303098,-9.025471736520995,-2.5272046163655544,3,0,30,0.09090909090909091,0.01915494298740492,0.243316350759155,0.9994992827560517,0.0005007172439483121,0.9999999345745891,7.005874067544937e-07,-18.339905285470657,-0.03760862069623423,-32.17060949331522,3.1854523074988483,True,33,0.9999546601097666,1.0,0.013860259691510172,0.06609467620117719,0.9999999995343387,1.0,1.0508811101317406e-05,8.89746006578207e-05,False,True,False,True,False
tabpfn,ot_disp_v2_selective_and_summary_abs,test_time_variant,M9_ot_displacement,33,-2.407625953486089,-0.6420518127861307,-2.0784310050679244,-0.2051165564645243,0.9649179666303098,-4.769658398240695,-0.04559350873148338,8,0,25,0.24242424242424243,0.11092329955883945,0.4225893177117019,0.977007344758957,0.022992655241043058,0.9993406364228576,0.002275692066177726,-5.567632307167143,0.8683856067613003,-23.49603033116184,12.810229375727243,True,33,0.9999546601097666,1.0,0.08497994180363674,1.0,0.9999999995343387,1.0,0.009309649361636151,0.23454952239990234,False,True,False,False,False
tabpfn,ot_disp_v2_selective_and_summary_top10,test_time_variant,M9_ot_displacement,34,-4.258794507461136,-1.7908000949886191,-3.353233929361176,-0.8428757196381824,0.9756934898905456,-6.966416526257781,-1.5511724886644913,4,0,30,0.11764705882352941,0.03300168033646954,0.27450348714235545,0.9984837564553423,0.0015162435446577941,0.9999996169935912,3.08244489133358e-06,-12.730364624425992,0.09997796843894215,-32.17060949331522,3.183430796374264,True,34,0.9999546601097666,1.0,0.025586609816100277,0.19407917371619765,0.9999999995343387,1.0,4.161300603300333e-05,0.0003883880563080311,False,True,False,True,False
tabpfn,ot_disp_v2_selective_top10,test_time_variant,M9_ot_displacement,34,-4.999892694421351,-1.45576735991561,-4.053562487571599,-0.3767403361751552,0.9756934898905456,-8.152053803623218,-1.847731585219484,8,0,26,0.23529411764705882,0.10746181577500806,0.4117078419071668,0.9985883347871853,0.0014116652128147228,0.9995893023442477,0.0014675278216600418,-15.978348688658567,0.6418693178719768,-33.37423997788133,2.358205032888933,True,34,0.9999546601097666,1.0,0.025586609816100277,0.18210481245309923,0.9999999995343387,1.0,0.007337639108300209,0.16436311602592468,False,True,False,True,False
tabpfn,ot_disp_v2_summary_only,test_time_variant,M9_ot_displacement,34,-1.6450702100502053,-0.2754396911766261,-0.6506778385802358,0.015844462981726093,0.9756934898905456,-3.98077887006441,0.6906384499639993,12,0,22,0.35294117647058826,0.1974586479123424,0.5351136291089579,0.9193587410443631,0.08064125895563688,0.9711936635430902,0.06072474247775972,-3.0201894361622292,0.7639706259344231,-27.178230986487428,13.230080684120324,True,34,0.9999546601097666,1.0,0.2134621560590388,1.0,0.9999999995343387,1.0,0.14382175849995724,1.0,False,False,False,False,False
tabpfn,ot_displacement_mag,test_time_variant,M9_ot_displacement,31,-10.173291860759571,-3.7548583013903527,-12.202453384713763,-1.7589977519261006,0.9705506265163422,-14.85095607828066,-5.495627643238483,1,0,30,0.03225806451612903,0.000816370071846613,0.16702111623022775,0.9999439587366223,5.604126337772116e-05,0.9999999995343387,1.4901161193847656e-08,-22.88366627748997,-0.718903129569279,-45.84958350883934,2.1812105033227103,True,31,0.9999546601097666,1.0,0.003782785277996178,0.007509529292614635,0.9999999995343387,1.0,6.690554852996553e-07,2.0116567611694336e-06,False,True,False,True,False
tabpfn,ot_displacement_no_mag,test_time_variant,M9_ot_displacement,31,-10.761874729244237,-4.75739727068453,-11.727777729459753,-1.7967270952032457,0.9705506265163422,-16.256579087482415,-5.267170371006062,1,0,30,0.03225806451612903,0.000816370071846613,0.16702111623022775,0.9998090640896155,0.0001909359103845301,0.9999999995343387,1.4901161193847656e-08,-27.43952678500304,-0.3929119229352197,-65.83447170630077,2.249268044513677,True,31,0.9999546601097666,1.0,0.008592115967303854,0.0253944760811425,0.9999999995343387,1.0,6.690554852996553e-07,2.0116567611694336e-06,False,True,False,True,False
tabpfn,pca_train_only_10,train_only_version,baselines,34,-0.12363007531157966,-0.15683135508713955,-0.5355405458931809,0.5465609634252554,0.9756934898905456,-2.090694637121744,1.8434344864985848,15,0,19,0.4411764705882353,0.27185019641486696,0.6211423560429286,0.5504857869470501,0.4495142130529498,0.804235847434029,0.30379568063654006,-2.972993954455266,3.069161607228702,-25.55499898484665,13.996845150033243,True,34,0.9999546601097666,1.0,0.6192287628790636,1.0,0.9999999995343387,1.0,0.4556935209548101,1.0,False,False,False,False,False
tabpfn,pca_train_only_5,train_only_version,baselines,34,0.6712865230722315,-0.1193037189604541,-0.7013405756886157,0.2950485281260264,0.9756934898905456,-0.6615121096454731,2.004085155789936,14,0,20,0.4117647058823529,0.24647073529775063,0.5930305670291519,0.1564747986124189,0.8435252013875811,0.8852594934869558,0.19576415256597102,-2.1196213681353204,2.550461913156455,-5.079877772897143,13.996845150033243,True,34,0.9999546601097666,1.0,0.9411231585729211,1.0,0.9999999995343387,1.0,0.3184115734506758,1.0,False,False,False,False,False
tabpfn,pca_train_only_var90,train_only_version,baselines,34,-0.006868864007934327,-0.09625715093246834,-0.659775218445906,0.3154281960216363,0.9756934898905456,-1.3153129975220272,1.3015752695061584,13,0,21,0.38235294117647056,0.22166543042549666,0.56436028822861,0.5042286588111451,0.4957713411888548,0.9392752575222403,0.11474050651304424,-3.771853031006784,1.0002646347065676,-7.341332201315054,13.996845150033243,True,34,0.9999546601097666,1.0,0.669291310604954,1.0,0.9999999995343387,1.0,0.24983819966549956,1.0,False,False,False,False,False
