model,method_key,dataset,dataset_lift_pct,variant_mean_all_pct,variant_mean_without_dataset_pct,mean_change_when_removed_pct,influence_direction,absolute_influence_rank
bag8,joint_freq_separate__sel_combined_intersection,tabred_delivery_eta__gap_near,-0.0003162236035135,0.2604726634142643,0.2635407679674146,0.0030681045531503193,pulls_mean_down,43.0
bag8,joint_freq_separate__sel_combined_intersection,tabred_cooking_time,-3.169109347156883e-05,0.2604726634142643,0.26353742052612,0.0030647571118557204,pulls_mean_down,44.0
bag8,joint_freq_separate__sel_combined_intersection,GiveMeSomeCredit,-2.539613204264729e-05,0.2604726634142643,0.26353734646775023,0.0030646830534859504,pulls_mean_down,45.0
bag8,joint_freq_separate__sel_combined_intersection,Bank_Customer_Churn,0.0,0.2604726634142643,0.26353704768972624,0.003064384275461962,pulls_mean_down,46.0
bag8,joint_freq_separate__sel_combined_intersection,Bioresponse,0.0,0.2604726634142643,0.26353704768972624,0.003064384275461962,pulls_mean_down,47.0
bag8,joint_freq_separate__sel_combined_intersection,QSAR_fish_toxicity,0.0,0.2604726634142643,0.26353704768972624,0.003064384275461962,pulls_mean_down,48.0
bag8,joint_freq_separate__sel_combined_intersection,bike_sharing,0.0,0.2604726634142643,0.26353704768972624,0.003064384275461962,pulls_mean_down,49.0
bag8,joint_freq_separate__sel_combined_intersection,healthcare_insurance_expenses,0.0,0.2604726634142643,0.26353704768972624,0.003064384275461962,pulls_mean_down,50.0
bag8,joint_freq_separate__sel_combined_intersection,heloc,0.0,0.2604726634142643,0.26353704768972624,0.003064384275461962,pulls_mean_down,51.0
bag8,joint_freq_separate__sel_combined_intersection,synthetic_large_test,0.0,0.2604726634142643,0.26353704768972624,0.003064384275461962,pulls_mean_down,52.0
bag8,joint_freq_separate__sel_combined_intersection,synthetic_small_test,0.0,0.2604726634142643,0.26353704768972624,0.003064384275461962,pulls_mean_down,53.0
bag8,joint_freq_separate__sel_combined_intersection,tschalzev_sctp,0.0,0.2604726634142643,0.26353704768972624,0.003064384275461962,pulls_mean_down,54.0
bag8,joint_freq_separate__sel_combined_intersection,tabred_delivery_eta__gap_far,1.4377127831964757e-05,0.2604726634142643,0.2635368785470459,0.0030642151327816003,pulls_mean_down,55.0
bag8,joint_freq_separate__sel_combined_intersection,credit_card_clients_default,2.687415063426074e-05,0.2604726634142643,0.2635367315232482,0.0030640681089839084,pulls_mean_down,56.0
bag8,joint_freq_separate__sel_combined_intersection,tabred_weather,3.192808092200696e-05,0.2604726634142643,0.2635366720652448,0.0030640086509804987,pulls_mean_down,57.0
bag8,joint_freq_separate__sel_combined_intersection,physiochemical_protein,7.077533799069478e-05,0.2604726634142643,0.26353621503869107,0.0030635516244267857,pulls_mean_down,58.0
bag8,joint_freq_separate__sel_combined_intersection,tabred_delivery_eta,9.999865003342592e-05,0.2604726634142643,0.26353587123502,0.003063207820755698,pulls_mean_down,59.0
bag8,joint_freq_separate__sel_combined_intersection,tabred_weather__gap_maxdiff,0.0001036960916417,0.2604726634142643,0.2635358277357069,0.003063164321442602,pulls_mean_down,60.0
bag8,joint_freq_separate__sel_combined_intersection,Food_Delivery_Time,0.0002071756983996,0.2604726634142643,0.26353461032856856,0.003061946914304281,pulls_mean_down,61.0
bag8,joint_freq_separate__sel_combined_intersection,houses,0.0005728432066925,0.2604726634142643,0.2635303083578828,0.0030576449436185427,pulls_mean_down,62.0
bag8,joint_freq_separate__sel_combined_intersection,tabred_weather__gap_far,0.0008353530793474,0.2604726634142643,0.2635272200064398,0.003054556592175517,pulls_mean_down,63.0
bag8,joint_freq_separate__sel_combined_intersection,jm1,0.0010286982291316,0.2604726634142643,0.26352494535761883,0.003052281943354551,pulls_mean_down,64.0
bag8,joint_freq_separate__sel_combined_intersection,synthetic_shift_3.0,0.005935387326011,0.2604726634142643,0.26346721960353786,0.0029945561892735784,pulls_mean_down,65.0
bag8,joint_freq_separate__sel_combined_intersection,synthetic_partial_shift,0.0084541390927659,0.2604726634142643,0.26343758722981137,0.0029649238155470825,pulls_mean_down,66.0
bag8,joint_freq_separate__sel_combined_intersection,tabred_delivery_eta__gap_maxdiff,0.0127246481791217,0.2604726634142643,0.2633873459464425,0.002914682532178192,pulls_mean_down,67.0
bag8,joint_freq_separate__sel_combined_intersection,folktables_mobility,0.022531023392178,0.2604726634142643,0.2632719768262889,0.0027993134120246066,pulls_mean_down,68.0
bag8,joint_freq_separate__sel_combined_intersection,bank-marketing,0.0547381779749159,0.2604726634142643,0.2628930691253155,0.0024204057110512323,pulls_mean_down,71.0
bag8,joint_freq_separate__sel_combined_intersection,brfss_diabetes,0.0671462741798934,0.2604726634142643,0.262747091522904,0.0022744281086397033,pulls_mean_down,72.0
bag8,joint_freq_separate__sel_combined_intersection,synthetic_shift_0.0,0.0801723549846896,0.2604726634142643,0.26259384351343573,0.002121180099171449,pulls_mean_down,74.0
bag8,joint_freq_separate__sel_combined_intersection,folktables_coverage,0.0867899346464518,0.2604726634142643,0.2625159896350621,0.0020433262207978364,pulls_mean_down,75.0
bag8,joint_freq_separate__sel_combined_intersection,synthetic_shift_0.5,0.1158728644006612,0.2604726634142643,0.2621738375203067,0.0017011741060424246,pulls_mean_down,77.0
bag8,joint_freq_separate__sel_combined_intersection,airfoil_self_noise,0.1370029896286931,0.2604726634142643,0.26192524781174165,0.0014525843974773633,pulls_mean_down,79.0
bag8,joint_freq_separate__sel_combined_intersection,synthetic_shift_5.0,0.1478771601563224,0.2604726634142643,0.2617973163937695,0.0013246529795052364,pulls_mean_down,80.0
bag8,joint_freq_separate__sel_combined_intersection,credit-g,0.2143098067121754,0.2604726634142643,0.26101575584605363,0.0005430924317893493,pulls_mean_down,82.0
bag8,joint_freq_separate__sel_combined_intersection,tschalzev_mbgm,0.2268359270476452,0.2604726634142643,0.2608683897244598,0.00039572631019552107,pulls_mean_down,83.0
bag8,joint_freq_separate__sel_combined_intersection,qsar-biodeg,0.2390461518242413,0.2604726634142643,0.26072474002120577,0.00025207660694148704,pulls_mean_down,84.0
bag8,joint_freq_separate__sel_combined_intersection,lending_club,0.2482893769721881,0.2604726634142643,0.2606159961959358,0.00014333278167150132,pulls_mean_down,85.0
bag8,joint_freq_separate__sel_combined_intersection,HR_Analytics_Job_Change_of_Data_Scientists,0.2500575177430253,0.2604726634142643,0.2605951945398083,0.00012253112554400092,pulls_mean_down,86.0
bag8,joint_freq_separate__sel_combined_intersection,tschalzev_ogpcc,0.3139619518274561,0.2604726634142643,0.25984337766822674,-0.0006292857460375445,pulls_mean_up,81.0
bag8,joint_freq_separate__sel_combined_intersection,tabred_sberbank__gap_near,0.3944077298814681,0.2604726634142643,0.25889695674994423,-0.0015757066643200535,pulls_mean_up,78.0
bag8,joint_freq_separate__sel_combined_intersection,coil2000_insurance_policies,0.4218716969193177,0.2604726634142643,0.25857385125538135,-0.0018988121588829343,pulls_mean_up,76.0
bag8,joint_freq_separate__sel_combined_intersection,Diabetes130US,0.4496042160145957,0.2604726634142643,0.2582475863248486,-0.0022250770894156613,pulls_mean_up,73.0
