model,method_key,dataset,dataset_family,n_folds,positive_folds,tie_folds,negative_folds,all_folds_positive,all_folds_nonnegative,mixed_positive_negative
bag8,joint_freq_combined,students_dropout_and_academic_success,TabArena_IID,3,2,0,1,False,False,True
bag8,joint_freq_combined,superconductivity,TabArena_IID,3,0,3,0,False,True,False
bag8,joint_freq_combined,synthetic_label_shift,synthetic,1,0,0,1,False,False,False
bag8,joint_freq_combined,synthetic_large_test,synthetic,1,1,0,0,False,True,False
bag8,joint_freq_combined,synthetic_partial_shift,synthetic,1,0,0,1,False,False,False
bag8,joint_freq_combined,synthetic_shift_0.0,synthetic,1,1,0,0,False,True,False
bag8,joint_freq_combined,synthetic_shift_0.5,synthetic,1,1,0,0,False,True,False
bag8,joint_freq_combined,synthetic_shift_1.0,synthetic,1,0,0,1,False,False,False
bag8,joint_freq_combined,synthetic_shift_3.0,synthetic,1,0,0,1,False,False,False
bag8,joint_freq_combined,synthetic_shift_5.0,synthetic,1,1,0,0,False,True,False
bag8,joint_freq_combined,synthetic_small_test,synthetic,1,0,0,1,False,False,False
bag8,joint_freq_combined,tabred_cooking_time,TabReD,1,0,0,1,False,False,False
bag8,joint_freq_combined,tabred_delivery_eta,TabReD,1,0,1,0,False,True,False
bag8,joint_freq_combined,tabred_delivery_eta__gap_far,TabReD_gap,1,0,1,0,False,True,False
bag8,joint_freq_combined,tabred_delivery_eta__gap_maxdiff,TabReD_gap,1,0,1,0,False,True,False
bag8,joint_freq_combined,tabred_delivery_eta__gap_near,TabReD_gap,1,0,1,0,False,True,False
bag8,joint_freq_combined,tabred_ecom_offers,TabReD,1,0,1,0,False,True,False
bag8,joint_freq_combined,tabred_homesite,TabReD,1,1,0,0,False,True,False
bag8,joint_freq_combined,tabred_homesite__gap_far,TabReD_gap,1,1,0,0,False,True,False
bag8,joint_freq_combined,tabred_homesite__gap_near,TabReD_gap,1,1,0,0,False,True,False
bag8,joint_freq_combined,tabred_sberbank,TabReD,1,0,0,1,False,False,False
bag8,joint_freq_combined,tabred_sberbank__gap_far,TabReD_gap,1,0,0,1,False,False,False
bag8,joint_freq_combined,tabred_sberbank__gap_near,TabReD_gap,1,1,0,0,False,True,False
bag8,joint_freq_combined,tabred_weather,TabReD,1,0,1,0,False,True,False
bag8,joint_freq_combined,tabred_weather__gap_far,TabReD_gap,1,0,1,0,False,True,False
bag8,joint_freq_combined,tabred_weather__gap_maxdiff,TabReD_gap,1,0,1,0,False,True,False
bag8,joint_freq_combined,tabred_weather__gap_near,TabReD_gap,1,0,1,0,False,True,False
bag8,joint_freq_combined,taiwanese_bankruptcy_prediction,TabArena_IID,3,0,3,0,False,True,False
bag8,joint_freq_combined,tschalzev_mbgm,tschalzev_IID,1,1,0,0,False,True,False
bag8,joint_freq_combined,tschalzev_ogpcc,tschalzev_IID,1,0,0,1,False,False,False
bag8,joint_freq_combined,tschalzev_sctp,tschalzev_IID,1,0,1,0,False,True,False
bag8,joint_freq_combined,website_phishing,TabArena_IID,3,0,0,3,False,False,False
bag8,joint_freq_combined,wine_quality,TabArena_IID,3,0,3,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,Amazon_employee_access,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_combined__sel_combined_intersection,Another-Dataset-on-used-Fiat-500,TabArena_IID,3,0,1,2,False,False,False
bag8,joint_freq_combined__sel_combined_intersection,Bank_Customer_Churn,TabArena_IID,3,0,3,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,Bioresponse,TabArena_IID,3,0,3,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,Diabetes130US,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_combined__sel_combined_intersection,E-CommereShippingData,TabArena_IID,3,1,1,1,False,False,True
bag8,joint_freq_combined__sel_combined_intersection,Fitness_Club,TabArena_IID,3,1,1,1,False,False,True
bag8,joint_freq_combined__sel_combined_intersection,Food_Delivery_Time,TabArena_IID,3,2,0,1,False,False,True
bag8,joint_freq_combined__sel_combined_intersection,GiveMeSomeCredit,TabArena_IID,3,0,2,1,False,False,False
bag8,joint_freq_combined__sel_combined_intersection,HR_Analytics_Job_Change_of_Data_Scientists,TabArena_IID,3,2,0,1,False,False,True
bag8,joint_freq_combined__sel_combined_intersection,Is-this-a-good-customer,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_combined__sel_combined_intersection,MIC,TabArena_IID,3,2,0,1,False,False,True
bag8,joint_freq_combined__sel_combined_intersection,Marketing_Campaign,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_combined__sel_combined_intersection,QSAR-TID-11,TabArena_IID,3,1,0,2,False,False,True
bag8,joint_freq_combined__sel_combined_intersection,QSAR_fish_toxicity,TabArena_IID,3,0,3,0,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,airfoil_self_noise,TabArena_IID,3,1,2,0,False,True,False
