model,dataset,method_key,method_role,family,dataset_family,task_type,n_folds,single_fold,n_train,n_test,n_features,n_cat,n_num,cat_frac,domain_auc,mean_ks,shift_bin,source_id,source_dataset,err_base_mean,err_method_mean,abs_delta_mean,near_perfect_base,relative_mask_reason,primary_effect_unmasked_pct,primary_effect_pct,sensitivity_effect_unmasked_pct,sensitivity_effect_pct
bag8,APSFailure,joint_groupby_combined__sel_combined_union,test_time_variant,selective,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0078829262204378,-8.752702953396252e-05,True,near_perfect_baseline,-1.12280368702725,,-0.9504981815387912,
bag8,APSFailure,joint_groupby_mean_only,test_time_variant,M14_groupby,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0077241653144628,7.123387644110875e-05,True,near_perfect_baseline,0.9137938250067904,,0.4516906833545147,
bag8,APSFailure,joint_groupby_separate,test_time_variant,M14_groupby,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0073676210553644,0.0004277781355394,True,near_perfect_baseline,5.487571900597393,,4.907943599535875,
bag8,APSFailure,joint_pca_10,test_time_variant,M3_joint_pca,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0078311649707408,-3.576577983688267e-05,True,near_perfect_baseline,-0.4588062645799484,,-0.4397253850978084,
bag8,APSFailure,joint_pca_5,test_time_variant,M3_joint_pca,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0077641445550414,3.125463586250987e-05,True,near_perfect_baseline,0.4009369513620214,,0.4903786664783716,
bag8,APSFailure,joint_pca_var90,test_time_variant,M3_joint_pca,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.007633040014953,0.0001623591759509,True,near_perfect_baseline,2.082756405090226,,1.1193531971205417,
bag8,APSFailure,joint_pca_var95,test_time_variant,M3_joint_pca,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0074688557921866,0.0003265433987172,True,near_perfect_baseline,4.188924655690312,,3.687845579583808,
bag8,APSFailure,joint_scaling,test_time_variant,M5_joint_scaling,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0079726614603654,-0.0001772622694615,True,near_perfect_baseline,-2.273934472378793,,-2.684940139474892,
bag8,APSFailure,joint_tsne_2d_p30,test_time_variant,M3b_joint_tsne,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0075779736527073,0.0002174255381965,True,near_perfect_baseline,2.7891520738321542,,3.584245296247501,
bag8,APSFailure,joint_tsne_2d_p50,test_time_variant,M3b_joint_tsne,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0076082626985045,0.0001871364923993,True,near_perfect_baseline,2.4006017885236126,,3.3700006127247804,
bag8,APSFailure,joint_tsne_3d_p30,test_time_variant,M3b_joint_tsne,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0073897843050722,0.0004056148858317,True,near_perfect_baseline,5.20325997294679,,4.591409608050248,
bag8,APSFailure,label_prop_k10_a05,test_time_variant,M8_label_prop,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0081880465616733,-0.0003926473707694,True,near_perfect_baseline,-5.036911659734097,,-5.310491185563811,
bag8,APSFailure,label_prop_k15_a05,test_time_variant,M8_label_prop,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0078807457066963,-8.534651579243195e-05,True,near_perfect_baseline,-1.094831883555354,,-2.661869306845071,
bag8,APSFailure,label_prop_k15_a08,test_time_variant,M8_label_prop,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0079615942097232,-0.0001661950188193,True,near_perfect_baseline,-2.131962902083031,,-3.375208993532409,
bag8,APSFailure,label_prop_v3_adaptive,test_time_variant,M8_label_prop,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0080168179233734,-0.0002214187324695,True,near_perfect_baseline,-2.840377087140571,,-1.5657352793616264,
bag8,APSFailure,label_prop_v3_t005_k10,test_time_variant,M8_label_prop,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0081197976767544,-0.0003243984858505,True,near_perfect_baseline,-4.161409543068588,,-4.330500674424566,
bag8,APSFailure,label_prop_v3_t005_k15,test_time_variant,M8_label_prop,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0082998063449459,-0.000504407154042,True,near_perfect_baseline,-6.470575036498346,,-6.074945523477258,
bag8,APSFailure,label_prop_v3_t01_k15,test_time_variant,M8_label_prop,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0079443452193562,-0.0001489460284523,True,near_perfect_baseline,-1.910691483588352,,-1.952644687958136,
bag8,APSFailure,label_prop_weighted_adaptive_a05,test_time_variant,M8_label_prop,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0081583183969815,-0.0003629192060776,True,near_perfect_baseline,-4.655556401795873,,-6.696610873420736,
bag8,APSFailure,label_prop_weighted_k10_a05,test_time_variant,M8_label_prop,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0085021669442944,-0.0007067677533905,True,near_perfect_baseline,-9.066472878197752,,-10.32596800957081,
bag8,APSFailure,label_prop_weighted_k15_a05,test_time_variant,M8_label_prop,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.00811916304415,-0.0003237638532461,True,near_perfect_baseline,-4.153268425611309,,-5.491297973557828,
bag8,APSFailure,label_prop_weighted_k15_a08,test_time_variant,M8_label_prop,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0077077997803614,8.759941054251967e-05,True,near_perfect_baseline,1.1237321963541715,,-1.0510219960755147,
bag8,APSFailure,leaf_density_conf,test_time_variant,M18_leaf_density,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0077595544325821,3.5844758321782834e-05,True,near_perfect_baseline,0.4598194068574276,,0.0065118259581618,
bag8,APSFailure,leaf_density_conf_cumshift,test_time_variant,M18_leaf_density,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0080409732603485,-0.0002455740694446,True,near_perfect_baseline,-3.1502436684860182,,-2.823681241802016,
bag8,APSFailure,leaf_density_conf_deep,test_time_variant,M18_leaf_density,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0079249320017712,-0.0001295328108673,True,near_perfect_baseline,-1.661657186439783,,-1.2103890356466096,
bag8,APSFailure,leaf_density_conf_shallow,test_time_variant,M18_leaf_density,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.008225962736338,-0.0004305635454341,True,near_perfect_baseline,-5.523303359968769,,-5.932829319151576,
bag8,APSFailure,leaf_density_embed_k10,test_time_variant,M18_leaf_density,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0078504742222974,-5.507503139353295e-05,True,near_perfect_baseline,-0.7065068772590514,,0.40588454566816,
bag8,APSFailure,leaf_density_embed_k10_cumshift,test_time_variant,M18_leaf_density,TabArena_IID,classification,2,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0069729917007093,0.0071286043674624,-0.0001556126667531,True,near_perfect_baseline,-2.2316485295299446,,-2.275332597394619,
bag8,APSFailure,leaf_density_embed_k20,test_time_variant,M18_leaf_density,TabArena_IID,classification,1,True,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0053627177280738,0.0046180795042751,0.0007446382237986,True,near_perfect_baseline,13.885463706219014,,13.885463706219014,
bag8,APSFailure,leaf_density_embed_k5,test_time_variant,M18_leaf_density,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.007673613984559,0.0001217852063448,True,near_perfect_baseline,1.5622703002424805,,1.439665105956937,
bag8,APSFailure,nearest_test_k10_both,test_time_variant,M16_nearest_test_dist,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0110159601080245,-0.0032205609171206,True,near_perfect_baseline,-41.313611250063474,,-48.43497812360178,
bag8,APSFailure,nearest_test_k10_cumshift_both,test_time_variant,M16_nearest_test_dist,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0113206048253973,-0.0035252056344933,True,near_perfect_baseline,-45.221617882080885,,-49.37665624493054,
bag8,APSFailure,nearest_test_k10_filter_both,test_time_variant,M16_nearest_test_dist,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0082051979603854,-0.0004097987694815,True,near_perfect_baseline,-5.256931164727582,,-7.134970628361915,
