model,pair_label,pair_quality,joint_key,train_only_key,dataset,err_joint,err_train_only,err_inductive,near_perfect_base,n_common_folds,total_vs_inductive_pct,train_only_vs_inductive_pct,additive_test_time_premium_pct,direct_test_time_premium_pct,absolute_joint_minus_train_only_improvement,absolute_total_improvement,dataset_family,domain_auc,mean_ks,shift_bin,source_id,source_dataset
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,in_vehicle_coupon_recommendation,0.16209697216164687,0.16265393530181627,0.1669647312821876,False,3,2.915441532567575,2.581860221177882,0.33358131138969244,0.34242217326983926,0.0005569631401693975,0.004867759120540743,TabArena_IID,0.4999967486682508,0.0148968616209672,DAUC < 0.55,source::in_vehicle_coupon_recommendation,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,jm1,0.2523411082373615,0.2523411082373615,0.2523411082373615,False,3,0.0,0.0,0.0,0.0,0.0,0.0,TabArena_IID,0.5013936268693818,0.0156089518163831,DAUC < 0.55,source::jm1,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,kddcup09_appetency,0.19022509764721118,0.19061226402908338,0.19833659694940486,False,3,4.089764283019791,3.8945575547471667,0.19520672827262434,0.2031172463347487,0.0003871663818721949,0.008111499302193681,TabArena_IID,0.502529275,0.0355100272725716,DAUC < 0.55,source::kddcup09_appetency,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,lending_club,0.3109923211374235,0.3113609605077467,0.3115974664807988,False,1,0.19420740168713535,0.07590112195814508,0.11830627972899026,0.11839614373043685,0.00036863937032322047,0.0006051453433753018,real_shift,0.94616475,0.0622442459135606,0.75 <= DAUC < 0.95,source::lending_club,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,maternal_health_risk,0.06193628607029456,0.06193628607029456,0.06193628607029456,False,3,0.0,0.0,0.0,0.0,0.0,0.0,TabArena_IID,0.4809925428071595,0.03878222065645,DAUC < 0.55,source::maternal_health_risk,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,miami_housing,87451.21914277841,87451.21914052036,87451.21914052036,False,3,-2.582067822505493e-09,0.0,-2.582067822505493e-09,-2.582067822505493e-09,-2.258049789816141e-06,-2.258049789816141e-06,TabArena_IID,0.5000548768378967,0.0174142973418732,DAUC < 0.55,source::miami_housing,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,online_shoppers_intention,0.06526122776082037,0.0653369625695039,0.06587676166406567,False,3,0.9343718296053701,0.8194074525315006,0.11496437707386951,0.11591418655705933,7.573480868353077e-05,0.0006155339032452994,TabArena_IID,0.5085433381403395,0.0162298164122981,DAUC < 0.55,source::online_shoppers_intention,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,physiochemical_protein,3.4820759024608896,3.4820759024608896,3.4820759024608896,False,3,0.0,0.0,0.0,0.0,0.0,0.0,TabArena_IID,0.5001884949523016,0.0130870811769565,DAUC < 0.55,source::physiochemical_protein,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,polish_companies_bankruptcy,0.04399807589132929,0.04399807589132929,0.04399807589132929,False,3,0.0,0.0,0.0,0.0,0.0,0.0,TabArena_IID,0.4797271737327021,0.028469599510753,DAUC < 0.55,source::polish_companies_bankruptcy,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,qsar-biodeg,0.0696942485439655,0.0696942485439655,0.06976872366754223,False,3,0.10674571593371981,0.10674571593371981,0.0,0.0,0.0,7.447512357673658e-05,TabArena_IID,0.5242964850267431,0.0520357221163414,DAUC < 0.55,source::qsar-biodeg,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,seismic-bumps,0.24680305204571742,0.24680305204571742,0.24680305204571742,False,3,0.0,0.0,0.0,0.0,0.0,0.0,TabArena_IID,0.5032746248400783,0.0270932551506253,DAUC < 0.55,source::seismic-bumps,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,shifts_weather,2.164518455518772,2.164518455518772,2.164518455518772,False,1,0.0,0.0,0.0,0.0,0.0,0.0,real_shift,0.99970015,0.1722711733109805,DAUC >= 0.95,source::shifts_weather,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,splice,0.0052764926488766,0.005327942351146466,0.0052733804611511,True,3,,,,,5.144970226986581e-05,-3.112187725499635e-06,TabArena_IID,0.4935215615848055,0.0,DAUC < 0.55,source::splice,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,students_dropout_and_academic_success,0.10558990237469763,0.10580028084416222,0.10631191401496416,False,3,0.6791446160633516,0.4812566639802228,0.19788795208312882,0.19884490644638728,0.00021037846946458938,0.0007220116402665289,TabArena_IID,0.4990070724969652,0.0241838594407484,DAUC < 0.55,source::students_dropout_and_academic_success,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,superconductivity,9.267409420567729,9.267409420567729,9.267409420567729,False,3,0.0,0.0,0.0,0.0,0.0,0.0,TabArena_IID,0.4966916245247805,0.0148733486354602,DAUC < 0.55,source::superconductivity,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,synthetic_label_shift,0.2404876272527474,0.2405248281318681,0.2403954804395605,False,1,-0.03833134176166901,-0.0538062080331507,0.01547486627148169,0.015466544310474456,3.720087912070791e-05,-9.21468131868941e-05,synthetic,0.54006835,0.01992,DAUC < 0.55,source::synthetic_generator,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,synthetic_large_test,0.2539575890130036,0.2545620875827525,0.2541956891847217,False,1,0.09366806041509139,-0.14414028782548005,0.23780834824057145,0.2374660639724737,0.0006044985697489236,0.00023810017171810305,synthetic,0.64072835,0.0878719999999999,0.55 <= DAUC < 0.75,source::synthetic_generator,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,synthetic_partial_shift,0.2414491890122805,0.2414725071864598,0.2414264165740653,False,1,-0.009432455047107248,-0.019090956593954614,0.009658501546847366,0.009656657998460454,2.3318174179304263e-05,-2.2772438215190594e-05,synthetic,0.5587177999999999,0.026568,0.55 <= DAUC < 0.75,source::synthetic_generator,
