model,method_key,method_role,n_datasets_ranked,model_roster_datasets,coverage_pct,mean_normalized_rank,median_normalized_rank,mean_raw_rank,rank_points_sum_observed,tied_best_datasets,unique_best_datasets,rank_status,mean_lift_pct,median_lift_pct,win_rate_decided,reliable_positive_strict
bag8,ot_disp_v2_selective_abs,test_time_variant,92,92,100.0,0.49872384559070976,0.53125,70.63586956521739,6498.5,1,1,descriptive_coverage_normalized,-1.2470851749911507,-0.0894193455388453,0.31645569620253167,False
bag8,joint_pca_5,test_time_variant,92,92,100.0,0.5013692060149735,0.56224173553719,71.02717391304348,6534.5,1,0,descriptive_coverage_normalized,-0.9339737619928244,-0.2299636452381512,0.30120481927710846,False
bag8,leaf_density_conf_cumshift,test_time_variant,91,92,98.91304347826087,0.5056164831569708,0.5694444444444444,71.98901098901099,6551.0,0,0,descriptive_coverage_normalized,-2.0875525307721228,-0.1399618868534027,0.38823529411764707,False
bag8,pseudo_label_v2_cal_iso_wprop_conf90,test_time_variant,65,92,70.65217391304348,0.5086451267126425,0.5486111111111112,73.3,4764.5,0,0,descriptive_coverage_normalized,-10.04389303139415,-0.1301677879684251,0.3389830508474576,False
bag8,pseudo_label_lgbm_conf90_iter3,test_time_variant,65,92,70.65217391304348,0.5114237658197125,0.5277777777777778,73.64615384615385,4787.0,0,0,descriptive_coverage_normalized,-2.611206508491177,-0.0654390536730455,0.3728813559322034,False
bag8,adversarial_lgbm_cal_iso_feature,test_time_variant,92,92,100.0,0.5147179071671978,0.5624493106244931,72.90217391304348,6707.0,1,1,descriptive_coverage_normalized,-2.2337771466615766,-0.2677560152568854,0.25882352941176473,False
bag8,cluster_membership_k10_both,test_time_variant,92,92,100.0,0.5162483941936176,0.5699074074074074,73.28804347826087,6742.5,0,0,descriptive_coverage_normalized,-1.2649999005590173,-0.22102852164200365,0.3023255813953488,False
bag8,joint_pca_var90,test_time_variant,92,92,100.0,0.5203790340016407,0.5737503237503238,73.56521739130434,6768.0,1,0,descriptive_coverage_normalized,-1.3405735199957678,-0.18364162572608475,0.30120481927710846,False
bag8,adversarial_lgbm_feature,test_time_variant,92,92,100.0,0.5221520005836542,0.5775002723608236,74.31521739130434,6837.0,2,0,descriptive_coverage_normalized,-1.7558703931934942,-0.2169551570122556,0.26744186046511625,False
bag8,adversarial_lgbm_cal_platt_feature,test_time_variant,92,92,100.0,0.5249072665938878,0.5657441200324411,74.95652173913044,6896.0,0,0,descriptive_coverage_normalized,-2.2119622667687837,-0.20789678325012784,0.313953488372093,False
bag8,cluster_membership_k10_both_cumshift,test_time_variant,92,92,100.0,0.5256104470669304,0.5798611111111112,74.39673913043478,6844.5,0,0,descriptive_coverage_normalized,-1.1994172079829186,-0.2509303868655267,0.3023255813953488,False
bag8,leaf_density_embed_k5,test_time_variant,76,92,82.6086956521739,0.5293453951653501,0.5833333333333334,75.73684210526316,5756.0,0,0,descriptive_coverage_normalized,-2.3714425735722675,-0.30965331951063735,0.3142857142857143,False
bag8,cluster_membership_k5_both,test_time_variant,92,92,100.0,0.5305698138777203,0.5648320895522387,75.29347826086956,6927.0,0,0,descriptive_coverage_normalized,-1.2255393893053823,-0.1689723401292666,0.3023255813953488,False
bag8,adversarial_reweight_lgbm_ratio_normalize,test_time_variant,92,92,100.0,0.5350495197194417,0.5257925699967316,75.55434782608695,6951.0,0,0,descriptive_coverage_normalized,-1.1470354789032093,-0.2210946397408134,0.27058823529411763,False
bag8,ot_disp_v2_selective_and_summary_abs,test_time_variant,92,92,100.0,0.5361540973174249,0.5833333333333333,75.77717391304348,6971.5,1,1,descriptive_coverage_normalized,-1.7303956062062813,-0.13951446118527194,0.26582278481012656,False
bag8,cluster_membership_k15_both,test_time_variant,92,92,100.0,0.5424478282806504,0.6057870370370371,76.90217391304348,7075.0,0,0,descriptive_coverage_normalized,-1.3745726556779727,-0.3492194078014059,0.22093023255813954,False
bag8,leaf_density_conf_shallow,test_time_variant,92,92,100.0,0.5430753042854357,0.5925925925925926,77.05434782608695,7089.0,3,3,descriptive_coverage_normalized,-1.8453848230466987,-0.2785486199949502,0.27906976744186046,False
bag8,adversarial_rf_feature,test_time_variant,92,92,100.0,0.5500815583951087,0.5733796296296296,78.01086956521739,7177.0,0,0,descriptive_coverage_normalized,-2.1303246431482044,-0.28282891210684347,0.20481927710843373,False
bag8,leaf_density_conf,test_time_variant,92,92,100.0,0.5502894121392284,0.6423611111111112,78.31521739130434,7205.0,2,2,descriptive_coverage_normalized,-2.0781337922557848,-0.405820266118626,0.2441860465116279,False
bag8,pseudo_label_v2_cal_iso_wprop_conf85,test_time_variant,65,92,70.65217391304348,0.5503946313259379,0.5416666666666666,79.13076923076923,5143.5,0,0,descriptive_coverage_normalized,-7.778838896669467,-0.2793980774800419,0.3220338983050847,False
bag8,pseudo_label_lgbm_conf80_iter5,test_time_variant,65,92,70.65217391304348,0.552607070582252,0.6180555555555556,79.49230769230769,5167.0,2,2,descriptive_coverage_normalized,-2.108995221949733,-0.3684191870496073,0.3220338983050847,False
bag8,leaf_density_conf_deep,test_time_variant,91,92,98.91304347826087,0.5528372642418939,0.6111111111111112,78.71428571428571,7163.0,0,0,descriptive_coverage_normalized,-2.5778675965983138,-0.237173934173005,0.29411764705882354,False
bag8,adversarial_lgbm_cal_iso_both_ratio,test_time_variant,92,92,100.0,0.5760264712304648,0.630787037037037,81.36413043478261,7485.5,0,0,descriptive_coverage_normalized,-2.725178259557467,-0.47467479290612247,0.22093023255813954,False
bag8,leaf_density_embed_k10_cumshift,test_time_variant,77,92,83.69565217391305,0.577071581217228,0.6527777777777778,82.45454545454545,6349.0,0,0,descriptive_coverage_normalized,-3.002953078370384,-0.4607291597809484,0.2676056338028169,False
bag8,leaf_density_embed_k10,test_time_variant,73,92,79.34782608695652,0.5808557631708577,0.6370370370370371,82.98630136986301,6058.0,2,2,descriptive_coverage_normalized,-2.870577804093471,-0.4610664181612128,0.2835820895522388,False
bag8,adversarial_lgbm_both_ratio,test_time_variant,92,92,100.0,0.595939832177182,0.6723945660989457,84.29347826086956,7755.0,2,0,descriptive_coverage_normalized,-2.3946999101173096,-0.395453350964704,0.26744186046511625,False
bag8,leaf_density_embed_k20,test_time_variant,76,92,82.6086956521739,0.6042447723457722,0.7013888888888888,86.38157894736842,6565.0,2,2,descriptive_coverage_normalized,-4.044298991754625,-0.7643782140765187,0.2714285714285714,False
bag8,label_prop_k15_a08,test_time_variant,92,92,100.0,0.6055641374572819,0.733551297648013,85.6413043478261,7879.0,0,0,descriptive_coverage_normalized,-3.0556784378274418,-0.779226600999519,0.2558139534883721,False
bag8,label_prop_k10_a05,test_time_variant,92,92,100.0,0.6066513817055579,0.7013888888888888,85.79347826086956,7893.0,0,0,descriptive_coverage_normalized,-2.94850114569796,-0.6505959208706238,0.27906976744186046,False
bag8,label_prop_weighted_k15_a08,test_time_variant,92,92,100.0,0.6066831164062357,0.7267880577427821,85.51086956521739,7867.0,0,0,descriptive_coverage_normalized,-3.781621322756211,-0.7810119578835066,0.29069767441860467,False
bag8,ot_disp_v2_selective_top10,test_time_variant,92,92,100.0,0.6080143254837284,0.7258084955393349,85.94565217391305,7907.0,6,1,descriptive_coverage_normalized,-3.5202516518798745,-0.9021474747552434,0.27710843373493976,False
bag8,label_prop_k15_a05,test_time_variant,92,92,100.0,0.6082500067762711,0.7323519283746556,86.04347826086956,7916.0,1,1,descriptive_coverage_normalized,-2.990882735975552,-0.772069646303921,0.2441860465116279,False
bag8,label_prop_weighted_adaptive_a05,test_time_variant,92,92,100.0,0.6138426763644024,0.7060185185185186,86.71739130434783,7978.0,4,4,descriptive_coverage_normalized,-3.560061380655664,-0.7931627950895785,0.2441860465116279,False
bag8,label_prop_v3_t005_k15,test_time_variant,92,92,100.0,0.6176614937351468,0.7079124579124579,87.53260869565217,8053.0,0,0,descriptive_coverage_normalized,-3.070549108984215,-0.6896994579334693,0.26744186046511625,False
bag8,label_prop_v3_t01_k15,test_time_variant,92,92,100.0,0.6213187972214937,0.7074074074074075,88.07065217391305,8102.5,3,3,descriptive_coverage_normalized,-3.5424193142716085,-0.8442808215686878,0.2441860465116279,False
