model,method_key,method_role,family,n_datasets,spearman_rho,spearman_p,n_low_dauc,n_high_dauc,low_mean_lift_pct,high_mean_lift_pct,high_minus_low_mean_lift_pct,spearman_p_bh,spearman_p_holm,positive_shift_trend_fdr,negative_shift_trend_fdr
bag8,nearest_test_k10_filter_both,test_time_variant,M16_nearest_test_dist,86,0.2265572361043454,0.03593879463502855,51,23,-5.057542180146384,-4.6838125199656995,0.3737296601806843,0.11500414283209134,1.0,False,False
bag8,nearest_test_k5_both,test_time_variant,M16_nearest_test_dist,86,0.28741574748274384,0.007291063104084477,51,23,-5.368245415247174,-4.441198186373799,0.9270472288733753,0.03620389955131602,0.8457633200737993,True,False
bag8,nearest_test_rel_k10_both,test_time_variant,M16_nearest_test_dist,86,0.2891534827548769,0.006929780954520074,51,23,-6.873162686084104,-3.719146368188746,3.154016317895358,0.03620389955131602,0.8246439335878888,True,False
bag8,nearest_test_rel_k10_cumshift_both,test_time_variant,M16_nearest_test_dist,86,0.3509375270499549,0.0009234368885445338,51,23,-6.638823595224045,-3.4628814242746477,3.175942170949397,0.008310931996900804,0.11912335862224485,True,False
bag8,nearest_test_rel_k5_both,test_time_variant,M16_nearest_test_dist,86,0.34256995394609696,0.0012437160541585262,51,23,-6.6510921582943,-2.851297694709348,3.7997944635849517,0.010535006576401633,0.15919565493229135,True,False
bag8,neighbor_consensus_k10_dist,test_time_variant,M19_neighbor_consensus,86,0.3030175880781992,0.004568970514294179,51,23,-9.256742760495964,-3.491515223543555,5.765227536952409,0.029905988820834627,0.561983373258184,True,False
bag8,neighbor_consensus_k10_dist_cumshift,test_time_variant,M19_neighbor_consensus,86,0.2841858264878009,0.008006872525741287,51,23,-8.190539691919938,-4.010837653327399,4.179702038592539,0.037193214313120816,0.9127834679345067,True,False
bag8,neighbor_consensus_k10_uniform,test_time_variant,M19_neighbor_consensus,86,0.28989013140284636,0.006781457333908275,51,23,-8.118477558238137,-3.105255344546677,5.01322221369146,0.03620389955131602,0.8137748800689929,True,False
bag8,neighbor_consensus_k20_dist,test_time_variant,M19_neighbor_consensus,86,0.2478633816148461,0.02139239899767622,51,23,-7.979669188830756,-3.3717170971748107,4.607952091655945,0.07898731937603527,1.0,False,False
bag8,neighbor_consensus_k5_dist,test_time_variant,M19_neighbor_consensus,86,0.3123106940987368,0.0034173108833855095,51,23,-9.255944990490148,-3.610849804202453,5.645095186287695,0.02589961932671123,0.4305811713065742,True,False
bag8,neighbor_consensus_k5_dist_cumshift,test_time_variant,M19_neighbor_consensus,86,0.259253103018066,0.015935039973189655,51,23,-8.459810815118875,-4.007821805306192,4.451989009812682,0.06374015989275862,1.0,False,False
bag8,ot_disp_v2_selective,test_time_variant,M9_ot_displacement,86,-0.24658362137214093,0.022095391261246614,51,23,-4.323686745399411,-17.24526938572611,-12.921582640326701,0.07928292815312794,1.0,False,False
bag8,ot_disp_v2_selective_abs,test_time_variant,M9_ot_displacement,86,0.35216387376050107,0.0008833991346929586,51,23,-2.2142574369687207,0.2811822030082049,2.4954396399769254,0.008310931996900804,0.11484188751008462,True,False
bag8,ot_disp_v2_selective_and_summary,test_time_variant,M9_ot_displacement,86,-0.22081932097368825,0.041040216425592704,51,23,-4.533141690803168,-17.803461902155938,-13.27032021135277,0.12574023755926275,1.0,False,False
bag8,ot_disp_v2_selective_and_summary_abs,test_time_variant,M9_ot_displacement,86,0.25796128921854133,0.016486458462878533,51,23,-2.897847146227498,0.025482476545781195,2.9233296227732795,0.06416351401768942,1.0,False,False
bag8,ot_disp_v2_selective_and_summary_top10,test_time_variant,M9_ot_displacement,86,0.08398897486929599,0.4419858160639929,51,23,-4.172562241944461,-2.1627556768363143,2.0098065651081467,0.7487759707437056,1.0,False,False
bag8,ot_disp_v2_selective_top10,test_time_variant,M9_ot_displacement,86,0.0760556858903003,0.4864290643910085,51,23,-3.9567387648407295,-2.4060672084523453,1.5506715563883842,0.7628245797911795,1.0,False,False
bag8,ot_disp_v2_summary_only,test_time_variant,M9_ot_displacement,86,0.05515933525275799,0.613962229795731,51,23,-1.6674519320581225,-0.5104932721259406,1.1569586599321817,0.8037323735507751,1.0,False,False
