model,dataset,method_key,method_role,family,dataset_family,task_type,n_folds,single_fold,n_train,n_test,n_features,n_cat,n_num,cat_frac,domain_auc,mean_ks,shift_bin,source_id,source_dataset,err_base_mean,err_method_mean,abs_delta_mean,near_perfect_base,relative_mask_reason,primary_effect_unmasked_pct,primary_effect_pct,sensitivity_effect_unmasked_pct,sensitivity_effect_pct,gap_window_order
bag8,tabred_delivery_eta__gap_maxdiff,adversarial_lgbm_feature,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,8000,5000,226,1,225,0.0044247787610619,1.0,0.2496496029927623,DAUC >= 0.95,source::tabred_delivery_eta,tabred_delivery_eta,0.5533970341678441,0.5516229515340196,0.0017740826338245,False,included_if_finite,0.3205804376043019,0.3205804376043019,0.3205804376043019,0.3205804376043019,3
bag8,tabred_homesite__gap_near,adversarial_lgbm_feature,test_time_variant,M6_adversarial,TabReD_gap,classification,1,True,8000,5000,299,16,283,0.0535117056856187,1.0,0.0437974647176086,DAUC >= 0.95,source::tabred_homesite,tabred_homesite,0.0459653482601032,0.0458416637305152,0.0001236845295879,False,included_if_finite,0.2690821113507203,0.2690821113507203,0.2690821113507203,0.2690821113507203,1
bag8,tabred_homesite__gap_far,adversarial_lgbm_feature,test_time_variant,M6_adversarial,TabReD_gap,classification,1,True,8000,5000,299,16,283,0.0535117056856187,1.0,0.0830990647492541,DAUC >= 0.95,source::tabred_homesite,tabred_homesite,0.1040477118497644,0.1017092334027431,0.0023384784470212,False,included_if_finite,2.247505884990377,2.247505884990377,2.247505884990377,2.247505884990377,2
bag8,tabred_sberbank__gap_near,adversarial_lgbm_feature,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,6282,2323,392,10,382,0.0255102040816326,1.0,0.2265311490062835,DAUC >= 0.95,source::tabred_sberbank,tabred_sberbank,0.2477962699761038,0.2421106631923895,0.0056856067837142,False,included_if_finite,2.294468267929372,2.294468267929372,2.294468267929372,2.294468267929372,1
bag8,tabred_sberbank__gap_far,adversarial_lgbm_feature,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,6282,2323,392,10,382,0.0255102040816326,1.0,0.235749592588427,DAUC >= 0.95,source::tabred_sberbank,tabred_sberbank,0.3592567871384393,0.3606090711054084,-0.0013522839669691,False,included_if_finite,-0.3764115294078005,-0.3764115294078005,-0.3764115294078005,-0.3764115294078005,2
bag8,tabred_weather__gap_near,adversarial_lgbm_feature,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,8000,5000,103,0,103,0.0,1.0,0.0948655339805825,DAUC >= 0.95,source::tabred_weather,tabred_weather,1.6630001348379588,1.6655949802806749,-0.002594845442716,False,included_if_finite,-0.1560339887145518,-0.1560339887145518,-0.1560339887145518,-0.1560339887145518,1
bag8,tabred_weather__gap_far,adversarial_lgbm_feature,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,8000,5000,103,0,103,0.0,1.0,0.1012016963019497,DAUC >= 0.95,source::tabred_weather,tabred_weather,1.6422974554212553,1.6448098714576798,-0.0025124160364244,False,included_if_finite,-0.1529817895126707,-0.1529817895126707,-0.1529817895126707,-0.1529817895126707,2
bag8,tabred_weather__gap_maxdiff,adversarial_lgbm_feature,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,8000,5000,103,0,103,0.0,1.0,0.2280292319342118,DAUC >= 0.95,source::tabred_weather,tabred_weather,1.7941261827455273,1.7911934634308768,0.0029327193146504,False,included_if_finite,0.1634622660800002,0.1634622660800002,0.1634622660800002,0.1634622660800002,3
bag8,tabred_delivery_eta__gap_near,adversarial_logreg_feature,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,8000,5000,226,1,225,0.0044247787610619,0.946211,0.1571228260314691,0.75 <= DAUC < 0.95,source::tabred_delivery_eta,tabred_delivery_eta,0.5743301179802871,0.5711462119411578,0.0031839060391293,False,included_if_finite,0.5543686356421599,0.5543686356421599,0.5543686356421599,0.5543686356421599,1
bag8,tabred_delivery_eta__gap_far,adversarial_logreg_feature,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,8000,5000,226,1,225,0.0044247787610619,0.999999625,0.2379337040655923,DAUC >= 0.95,source::tabred_delivery_eta,tabred_delivery_eta,0.5576152367232049,0.5577239353599135,-0.0001086986367085,False,included_if_finite,-0.0194934839563126,-0.0194934839563126,-0.0194934839563126,-0.0194934839563126,2
bag8,tabred_delivery_eta__gap_maxdiff,adversarial_logreg_feature,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,8000,5000,226,1,225,0.0044247787610619,1.0,0.2496496029927623,DAUC >= 0.95,source::tabred_delivery_eta,tabred_delivery_eta,0.5533970341678441,0.553197201903308,0.0001998322645361,False,included_if_finite,0.0361101076077537,0.0361101076077537,0.0361101076077537,0.0361101076077537,3
bag8,tabred_homesite__gap_near,adversarial_logreg_feature,test_time_variant,M6_adversarial,TabReD_gap,classification,1,True,8000,5000,299,16,283,0.0535117056856187,1.0,0.0437974647176086,DAUC >= 0.95,source::tabred_homesite,tabred_homesite,0.0459653482601032,0.0454752211878107,0.0004901270722924,False,included_if_finite,1.066296875461454,1.066296875461454,1.066296875461454,1.066296875461454,1
bag8,tabred_homesite__gap_far,adversarial_logreg_feature,test_time_variant,M6_adversarial,TabReD_gap,classification,1,True,8000,5000,299,16,283,0.0535117056856187,1.0,0.0830990647492541,DAUC >= 0.95,source::tabred_homesite,tabred_homesite,0.1040477118497644,0.1037669805161604,0.000280731333604,False,included_if_finite,0.2698101943937201,0.2698101943937201,0.2698101943937201,0.2698101943937201,2
bag8,tabred_sberbank__gap_near,adversarial_logreg_feature,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,6282,2323,392,10,382,0.0255102040816326,1.0,0.2265311490062835,DAUC >= 0.95,source::tabred_sberbank,tabred_sberbank,0.2477962699761038,0.2504780936446742,-0.0026818236685704,False,included_if_finite,-1.0822695873626518,-1.0822695873626518,-1.0822695873626518,-1.0822695873626518,1
bag8,tabred_sberbank__gap_far,adversarial_logreg_feature,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,6282,2323,392,10,382,0.0255102040816326,1.0,0.235749592588427,DAUC >= 0.95,source::tabred_sberbank,tabred_sberbank,0.3592567871384393,0.3458567994364143,0.0133999877020249,False,included_if_finite,3.729919150243172,3.729919150243172,3.729919150243172,3.729919150243172,2
bag8,tabred_weather__gap_near,adversarial_logreg_feature,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,8000,5000,103,0,103,0.0,1.0,0.0948655339805825,DAUC >= 0.95,source::tabred_weather,tabred_weather,1.6630001348379588,1.665158622677725,-0.0021584878397662,False,included_if_finite,-0.1297948084638348,-0.1297948084638348,-0.1297948084638348,-0.1297948084638348,1
bag8,tabred_weather__gap_far,adversarial_logreg_feature,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,8000,5000,103,0,103,0.0,1.0,0.1012016963019497,DAUC >= 0.95,source::tabred_weather,tabred_weather,1.6422974554212553,1.6394793915751975,0.0028180638460577,False,included_if_finite,0.1715927791737896,0.1715927791737896,0.1715927791737896,0.1715927791737896,2
bag8,tabred_weather__gap_maxdiff,adversarial_logreg_feature,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,8000,5000,103,0,103,0.0,1.0,0.2280292319342118,DAUC >= 0.95,source::tabred_weather,tabred_weather,1.7941261827455273,1.789880757009627,0.0042454257359003,False,included_if_finite,0.2366291611331176,0.2366291611331176,0.2366291611331176,0.2366291611331176,3
bag8,tabred_delivery_eta__gap_near,adversarial_reweight_lgbm_cal_iso_ratio_hard,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,8000,5000,226,1,225,0.0044247787610619,0.946211,0.1571228260314691,0.75 <= DAUC < 0.95,source::tabred_delivery_eta,tabred_delivery_eta,0.5743301179802871,0.5734340470129509,0.0008960709673362,False,included_if_finite,0.1560201945333108,0.1560201945333108,0.1560201945333108,0.1560201945333108,1
bag8,tabred_delivery_eta__gap_far,adversarial_reweight_lgbm_cal_iso_ratio_hard,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,8000,5000,226,1,225,0.0044247787610619,0.999999625,0.2379337040655923,DAUC >= 0.95,source::tabred_delivery_eta,tabred_delivery_eta,0.5576152367232049,0.5613291263239563,-0.0037138896007513,False,included_if_finite,-0.6660308679109685,-0.6660308679109685,-0.6660308679109685,-0.6660308679109685,2
bag8,tabred_delivery_eta__gap_maxdiff,adversarial_reweight_lgbm_cal_iso_ratio_hard,test_time_variant,M6_adversarial,TabReD_gap,regression,1,True,8000,5000,226,1,225,0.0044247787610619,1.0,0.2496496029927623,DAUC >= 0.95,source::tabred_delivery_eta,tabred_delivery_eta,0.5533970341678441,0.5533970341678441,0.0,False,included_if_finite,0.0,0.0,0.0,0.0,3
