model,method_key,complete_five_levels,effect_shift_0_0_pct,effect_shift_0_5_pct,effect_shift_1_0_pct,effect_shift_3_0_pct,effect_shift_5_0_pct,shift5_minus_shift0_pct,endpoint_direction,strictly_increasing,strictly_decreasing,nondecreasing,nonincreasing,exceeds_baseline_at_every_level,exceeds_baseline_at_any_level,below_baseline_at_every_level
bag8,nearest_test_k10_cumshift_both,True,0.0929795976197806,-0.403898070310867,-0.1964734185595822,-1.5098389148559046,-5.825752965465233,-5.918732563085014,smaller_benefit,False,False,False,False,False,True,False
bag8,nearest_test_k10_filter_both,True,-0.3276505908713795,0.1174280409238234,-1.1604216301898187,-2.1176019735598874,-8.934375393240572,-8.606724802369193,smaller_benefit,False,False,False,False,False,True,False
bag8,nearest_test_k5_both,True,-0.4243198550632518,-0.3446222321521472,-1.1617946156648131,-1.451966907323198,-7.193566794607873,-6.7692469395446215,smaller_benefit,False,False,False,False,False,False,True
bag8,nearest_test_rel_k10_both,True,0.0031485154750136,-0.0623536220630499,-0.9422373769842824,-7.798219336255724,-16.51605735537921,-16.519205870854226,smaller_benefit,False,True,False,True,False,True,False
bag8,nearest_test_rel_k10_cumshift_both,True,0.2450922515034552,-0.4640369907285004,-1.0262785405340884,-3.423712086326689,-9.184028301925286,-9.429120553428742,smaller_benefit,False,True,False,True,False,True,False
bag8,nearest_test_rel_k5_both,True,-0.0259342563730916,-0.2591200925224085,-1.112013855751896,-3.389874831477372,-11.032110219551017,-11.006175963177926,smaller_benefit,False,True,False,True,False,False,True
bag8,neighbor_consensus_k10_dist,True,-2.2921356642842383,-3.4262655798560493,-3.119639786421253,-4.535531376050179,-4.6430267809861965,-2.350891116701958,smaller_benefit,False,False,False,False,False,False,True
bag8,neighbor_consensus_k10_dist_cumshift,True,-2.694866870270618,-2.986517026658761,-3.723440258391031,-4.5771028605793305,-4.898701234325174,-2.2038343640545563,smaller_benefit,False,True,False,True,False,False,True
bag8,neighbor_consensus_k10_uniform,True,-1.99782326070753,-3.563967911578667,-3.135272550864879,-4.627462522070455,-4.38168841616994,-2.38386515546241,smaller_benefit,False,False,False,False,False,False,True
bag8,neighbor_consensus_k20_dist,True,-1.5666324265608222,-2.1667354418378606,-3.2478734181260065,-4.2506644820637804,-5.43191566710274,-3.8652832405419177,smaller_benefit,False,True,False,True,False,False,True
bag8,neighbor_consensus_k5_dist,True,-3.870927592015289,-3.907613069475502,-4.2275748315222685,-5.992284630429427,-4.843384530601902,-0.9724569385866135,smaller_benefit,False,False,False,False,False,False,True
bag8,neighbor_consensus_k5_dist_cumshift,True,-3.84842062592486,-3.103220404176521,-2.911074460695705,-4.885782623610736,-5.289694101373072,-1.4412734754482117,smaller_benefit,False,False,False,False,False,False,True
bag8,ot_disp_v2_selective,True,-0.534198125583735,-4.26087426650215,-2.1389427578268463,-0.8379990311609329,-1.8504689111558537,-1.3162707855721187,smaller_benefit,False,False,False,False,False,False,True
bag8,ot_disp_v2_selective_abs,True,-0.1887469433161827,0.2317864402286364,0.149856145647608,0.1015355377948109,0.1186011419476278,0.3073480852638105,larger_benefit,False,False,False,False,False,True,False
bag8,ot_disp_v2_selective_and_summary,True,-0.7567998095147144,-2.383645926528573,-2.1947373547034013,-2.098052440137584,-2.1859288311641376,-1.4291290216494232,smaller_benefit,False,False,False,False,False,False,True
bag8,ot_disp_v2_selective_and_summary_abs,True,-0.378469598459225,0.0773028581701928,0.2384658982926081,0.0934050873322329,-0.0424751775544968,0.3359944209047282,larger_benefit,False,False,False,False,False,True,False
bag8,ot_disp_v2_selective_and_summary_top10,True,-0.7567998095147144,-2.383645926528573,-2.1947373547034013,-2.098052440137584,-2.1859288311641376,-1.4291290216494232,smaller_benefit,False,False,False,False,False,False,True
bag8,ot_disp_v2_selective_top10,True,-0.534198125583735,-4.26087426650215,-2.1389427578268463,-0.8379990311609329,-1.8504689111558537,-1.3162707855721187,smaller_benefit,False,False,False,False,False,False,True
bag8,ot_disp_v2_summary_only,True,-0.1224723324202271,-0.1078201440793293,-0.2604497242025293,-0.2159007045360038,-0.1586061554658449,-0.03613382304561778,smaller_benefit,False,False,False,False,False,False,True
bag8,ot_displacement_mag,True,-0.5975538002581547,-3.3750913157313844,-1.614357927357141,-2.63069203842678,-0.7848301654103481,-0.18727636515219337,smaller_benefit,False,False,False,False,False,False,True
