model,method_key,method_role,family,shift_bin,roster_band_datasets,execution_n_datasets,near_perfect_datasets_masked,n_fold_cells,n_datasets,mean_lift_pct,median_lift_pct,median_ci95_low_pct,median_ci95_high_pct,median_ci_coverage,ci95_low_pct,ci95_high_pct,wins,ties,losses,win_rate_decided,win_ci95_low,win_ci95_high,t_p_positive,t_p_negative,sign_p_positive,sign_p_negative,p10_lift_pct,p90_lift_pct,worst_lift_pct,best_lift_pct,finite_denominator_consistent,band_status,t_p_positive_bh,t_p_positive_holm,t_p_negative_bh,t_p_negative_holm,sign_p_positive_bh,sign_p_positive_holm,sign_p_negative_bh,sign_p_negative_holm,positive_mean_ci,negative_mean_ci,reliable_positive_strict,consistently_harmful_strict,never_exceeds_inductive
tabpfn,tdda_k5_lam07_aug1_cumshift,test_time_variant,M17_tdda,DAUC < 0.55,33,26,5,76,21,-6.732399372345805,-5.714041081209829,-12.830316381926552,-1.4206797818553702,0.9733963012695312,-11.581625305189036,-1.883173439502575,3,0,18,0.14285714285714285,0.03048896762151555,0.363423987016981,0.9955336619004785,0.004466338099521445,0.9998893737792969,0.0007448196411132812,-19.27297194373352,9.178455794980458,-30.832886898768507,11.707327722482908,True,reliability_eligible_n_ge_10,0.9999546601097666,1.0,0.05544359671615624,0.5672249386392235,0.9999999962747097,1.0,0.004570484161376953,0.08863353729248047,False,True,False,False,False
tabpfn,tdda_k5_lam07_aug2,test_time_variant,M17_tdda,DAUC < 0.55,33,21,4,62,17,-14.638856275852529,-11.411234999282255,-24.353813358942418,-8.735812771143593,0.950958251953125,-20.62648733188733,-8.651225219817729,2,0,15,0.11764705882352941,0.014579316840302487,0.36440916210125024,0.9999546601097666,4.5339890233332066e-05,0.9998626708984375,0.0011749267578125,-29.077825402898537,-1.0964707746795437,-33.18495880920433,6.454008616585793,True,reliability_eligible_n_ge_10,0.9999546601097666,1.0,0.006120885181499829,0.006120885181499829,0.9999999962747097,1.0,0.006896309230638587,0.1327667236328125,False,True,False,True,False
tabpfn,tdda_k5_lam08_aug1,test_time_variant,M17_tdda,DAUC < 0.55,33,26,5,76,21,-6.88426204646831,-6.285573911493715,-11.485251117139684,-2.048259979179555,0.9733963012695312,-12.14263528633419,-1.625888806602429,3,0,18,0.14285714285714285,0.03048896762151555,0.363423987016981,0.9935627765261775,0.00643722347382251,0.9998893737792969,0.0007448196411132812,-21.27226950116709,9.466763333306986,-31.3467255210484,16.80482810257981,True,reliability_eligible_n_ge_10,0.9999546601097666,1.0,0.05544359671615624,0.7982157107539912,0.9999999962747097,1.0,0.004570484161376953,0.08863353729248047,False,True,False,False,False
tabpfn,tdda_v2_k10_lam07_pfl_dw,test_time_variant,M17_tdda,DAUC < 0.55,33,26,5,76,21,-5.117987743253639,-4.836548880985953,-9.154471141437044,-1.838701411522832,0.9733963012695312,-9.747336172664113,-0.4886393138431657,4,0,17,0.19047619047619047,0.05446356817840682,0.4190660411835279,0.9840309831246575,0.0159690168753425,0.9992551803588867,0.0035986900329589844,-16.021094196837346,4.317271353176378,-24.834501768931894,22.257730621181512,True,reliability_eligible_n_ge_10,0.9999546601097666,1.0,0.06034471454011155,1.0,0.9999999962747097,1.0,0.013880661555698939,0.37786245346069336,False,True,False,False,False
tabpfn,tdda_v2_k5_lam06_pfl_dw,test_time_variant,M17_tdda,DAUC < 0.55,33,26,5,76,21,-5.2065423016022905,-4.777545659161867,-11.218930776402283,-2.025975532319336,0.9733963012695312,-9.880278908048957,-0.5328056951556244,4,0,17,0.19047619047619047,0.05446356817840682,0.4190660411835279,0.9846050466025814,0.01539495339741857,0.9992551803588867,0.0035986900329589844,-15.804613348857243,4.405740997067525,-23.48057639491747,22.118323639061355,True,reliability_eligible_n_ge_10,0.9999546601097666,1.0,0.06034471454011155,1.0,0.9999999962747097,1.0,0.013880661555698939,0.37786245346069336,False,True,False,False,False
tabpfn,tdda_v2_k5_lam07_nopfl_dw,test_time_variant,M17_tdda,DAUC < 0.55,33,26,5,76,21,-6.553291984663926,-5.975772997778241,-10.505050978938584,-1.6760650434359168,0.9733963012695312,-11.563242562181129,-1.5433414071467233,3,0,18,0.14285714285714285,0.03048896762151555,0.363423987016981,0.9935289415519034,0.006471058448096657,0.9998893737792969,0.0007448196411132812,-19.66878274422229,10.011004364200335,-33.777588023896016,12.516471983676832,True,reliability_eligible_n_ge_10,0.9999546601097666,1.0,0.05544359671615624,0.7982157107539912,0.9999999962747097,1.0,0.004570484161376953,0.08863353729248047,False,True,False,False,False
tabpfn,tdda_v2_k5_lam07_pfl_dw,test_time_variant,M17_tdda,DAUC < 0.55,33,26,5,76,21,-5.110933284263697,-4.9160255158328,-9.154471141437044,-1.838701411522832,0.9733963012695312,-9.651122103052236,-0.5707444654751583,4,0,17,0.19047619047619047,0.05446356817840682,0.4190660411835279,0.9853693055211556,0.01463069447884429,0.9992551803588867,0.0035986900329589844,-16.021094196837346,4.317271353176378,-23.52491993930577,22.12324801547002,True,reliability_eligible_n_ge_10,0.9999546601097666,1.0,0.05985284104981755,1.0,0.9999999962747097,1.0,0.013880661555698939,0.37786245346069336,False,True,False,False,False
tabpfn,tdda_v2_k5_lam07_pfl_dw_cumshift,test_time_variant,M17_tdda,DAUC < 0.55,33,26,5,76,21,-5.4092913577544595,-5.28446449884919,-12.112272737193567,-0.8104319930443205,0.9733963012695312,-9.973204416398524,-0.8453782991103944,4,0,17,0.19047619047619047,0.05446356817840682,0.4190660411835279,0.9887387633832379,0.011261236616762186,0.9992551803588867,0.0035986900329589844,-16.08883384746975,4.792357259944232,-23.52491993930577,21.906575703007626,True,reliability_eligible_n_ge_10,0.9999546601097666,1.0,0.05860481580228295,1.0,0.9999999962747097,1.0,0.013880661555698939,0.37786245346069336,False,True,False,False,False
tabpfn,tdda_v2_k5_lam07_pfl_nodw,test_time_variant,M17_tdda,DAUC < 0.55,33,26,5,76,21,-5.110933284263697,-4.9160255158328,-9.154471141437044,-1.838701411522832,0.9733963012695312,-9.651122103052236,-0.5707444654751583,4,0,17,0.19047619047619047,0.05446356817840682,0.4190660411835279,0.9853693055211556,0.01463069447884429,0.9992551803588867,0.0035986900329589844,-16.021094196837346,4.317271353176378,-23.52491993930577,22.12324801547002,True,reliability_eligible_n_ge_10,0.9999546601097666,1.0,0.05985284104981755,1.0,0.9999999962747097,1.0,0.013880661555698939,0.37786245346069336,False,True,False,False,False
tabpfn,train_only_scaling,train_only_version,baselines,DAUC < 0.55,33,33,5,95,28,-0.5763393129636059,-0.01971555357249175,-0.3604687776992138,0.1218522436974954,0.9643018618226051,-1.2858367769964731,0.13315815106926154,12,0,16,0.42857142857142855,0.2446239363021466,0.628206371387904,0.946437047290609,0.0535629527093911,0.8275357745587826,0.28579409420490265,-2.188692039398613,0.6194844336724386,-7.32996443167507,1.1210999122130076,True,reliability_eligible_n_ge_10,0.9999546601097666,1.0,0.144111964453413,1.0,0.9999999962747097,1.0,0.43350789570406584,1.0,False,False,False,False,False
tabpfn,adversarial_lgbm_both_ratio,test_time_variant,M6_adversarial,0.55 <= DAUC < 0.75,4,4,0,4,4,-0.07366109599402378,-0.1377655653057592,,,,-0.4962964335660698,0.34897424157802226,1,0,3,0.25,0.006309463209709866,0.8058795503167565,0.691103796866422,0.308896203133578,0.9375,0.3125,-0.27284890322551925,0.17681028668686014,-0.3211657724347038,0.3020525190701271,True,descriptive_only_n_lt_6,0.9987949700665859,1.0,0.3947007040040163,1.0,1.0,1.0,0.4334677419354839,1.0,False,False,False,False,False
