model,dataset,source_id,dataset_family,task_type,n_folds,has_repeated_folds,near_perfect_base,available_test_time_configurations,finite_relative_test_time_configurations,available_train_only_configurations,median_effect_pct,q1_effect_pct,q3_effect_pct,positive_configurations,zero_configurations,negative_configurations,positive_configuration_share,zero_configuration_share,negative_configuration_share,families_with_finite_results,family_balanced_mean_of_family_medians_pct,family_balanced_median_of_family_medians_pct,family_balanced_q1_pct,family_balanced_q3_pct,positive_families,zero_families,negative_families,best_exact_configuration,best_exact_family,best_exact_effect_pct,best_is_selected_after_labels
bag8,tabred_cooking_time,source::tabred_cooking_time,TabReD,regression,1,False,False,115,115,9,-0.0536291420006735,-0.2062559629211752,-0.0274185453566966,11,0,104,0.09565217391304348,0.0,0.9043478260869565,15,-0.09210862100078313,-0.0480480078146697,-0.07017585089796033,-0.0394650469486893,2,0,13,ot_disp_v2_selective_and_summary_top10,M9_optimal_transport,0.1040199184448193,True
bag8,tabred_delivery_eta,source::tabred_delivery_eta,TabReD,regression,1,False,False,112,112,9,-8.499877389524527e-05,-0.1764605779727947,0.01139173952237045,41,12,59,0.36607142857142855,0.10714285714285714,0.5267857142857143,15,-0.06017924149728141,-0.015046145280459201,-0.12330566236521895,0.009823322570748506,5,2,8,tdda_v2_k5_lam07_nopfl_dw,M17_test_directed_augmentation,0.1108999422476889,True
bag8,tabred_delivery_eta__gap_far,source::tabred_delivery_eta,TabReD_gap,regression,1,False,False,125,125,10,-0.104807047890806,-1.3911634628792258,7.667803897614044e-05,40,13,72,0.32,0.104,0.576,16,-0.4502739381798264,-0.09808993373851485,-0.7909034882446232,2.2164741724986718e-05,5,1,10,ot_disp_v2_selective_top10,M9_optimal_transport,0.433663080655242,True
bag8,tabred_delivery_eta__gap_maxdiff,source::tabred_delivery_eta,TabReD_gap,regression,1,False,False,125,125,10,0.0,-0.9683759202068276,0.0483136005572832,48,20,57,0.384,0.16,0.456,16,-0.2200641296115114,0.0002895107412134,-0.1953411636061009,0.11929289513737189,8,3,5,joint_tsne_2d_p30,M3b_joint_tsne,0.5079323064579752,True
bag8,tabred_delivery_eta__gap_near,source::tabred_delivery_eta,TabReD_gap,regression,1,False,False,125,125,10,0.2058161961445295,0.0,0.3428914297323313,83,12,30,0.664,0.096,0.24,16,0.14996181550044752,0.20256179703440994,0.03491759860983949,0.30294797145111696,12,2,2,ot_disp_v2_selective_and_summary_top10,M9_optimal_transport,1.2185673660379397,True
bag8,tabred_ecom_offers,source::tabred_ecom_offers,TabReD,classification,1,False,False,132,132,10,0.03741137638946945,-0.1154041528974502,0.4242712404950156,67,21,44,0.5075757575757576,0.1590909090909091,0.3333333333333333,17,0.1159199122960064,0.0811514749316624,-0.000969729263971,0.3047802450151925,9,3,5,pseudo_label_lgbm_conf80_iter5,M7_pseudo_labeling,8.924322859112953,True
bag8,tabred_homesite,source::tabred_homesite,TabReD,classification,1,False,False,119,119,9,-1.1122005754816442,-6.1085961793403385,0.6945182632918792,46,0,73,0.3865546218487395,0.0,0.6134453781512605,16,-4.195609700407382,-1.6799235134920805,-4.349715771982151,0.407640403448272,5,0,11,tdda_v2_k5_lam07_nopfl_dw,M17_test_directed_augmentation,2.609766080799448,True
bag8,tabred_homesite__gap_far,source::tabred_homesite,TabReD_gap,classification,1,False,False,134,134,10,0.0758596778438963,-3.2985273837796347,3.291684371602938,69,5,60,0.5149253731343284,0.03731343283582089,0.44776119402985076,17,-9.70710987815075,0.0058654390085591,-3.360766208814762,1.7224839221798434,9,0,8,ot_disp_v2_selective_abs,M9_optimal_transport,46.76840379246247,True
bag8,tabred_homesite__gap_near,source::tabred_homesite,TabReD_gap,classification,1,False,False,134,134,10,-0.34313870120651413,-4.14082553919654,0.299619390434889,49,5,80,0.3656716417910448,0.03731343283582089,0.5970149253731343,17,-9.881426149074473,-0.20918773788089115,-3.2756026318118,0.2891452512321252,6,1,10,joint_pca_var95,M3_joint_pca,3.5299324344263354,True
bag8,tabred_sberbank,source::tabred_sberbank,TabReD,regression,1,False,False,123,123,9,-1.2017767211961512,-14.973974286899015,-0.11910073216132805,22,6,95,0.17886178861788618,0.04878048780487805,0.7723577235772358,16,-5.686161127613403,-1.1469170978246395,-6.308014160273853,-0.13619987735256406,3,0,13,adversarial_lgbm_both_ratio,M6_adversarial_validation,6.317381253679216,True
