model,dataset,n_folds,configurations,all_positive_configurations,all_negative_configurations,all_zero_configurations,mixed_configurations,positive_dataset_average_configurations,negative_dataset_average_configurations,exact_configuration_median_by_fold_pct,family_balanced_median_by_fold_pct,family_balanced_positive_folds,family_balanced_zero_folds,family_balanced_negative_folds
tabicl,airfoil_self_noise,3,116,5,76,0,35,7,109,0:-8.199458851;1:-8.593674890;2:-14.041773364,0:-5.648033470;1:-2.081191955;2:-11.329555917,0,0,3
tabicl,anneal,0,125,0,0,0,125,0,0,0:nan;1:nan;2:nan,0:nan;1:nan;2:nan,0,0,0
tabicl,blood-transfusion-service-center,3,125,0,37,2,86,23,100,0:0.000000000;1:-1.168014376;2:-0.235404896,0:0.000000000;1:-1.482479784;2:-0.078468299,0,1,2
tabicl,churn,3,125,0,74,0,51,5,120,0:-11.101321586;1:-4.696180058;2:-5.921179418,0:-10.721365639;1:-4.469007121;2:-4.731162074,0,0,3
tabicl,coil2000_insurance_policies,3,124,4,53,0,67,39,85,0:0.000000000;1:-1.858009071;2:-0.652629336,0:0.218720070;1:-1.682118554;2:0.000710152,2,0,1
tabicl,concrete_compressive_strength,3,116,0,65,4,47,21,91,0:-1.492225203;1:-7.177831193;2:-3.273597305,0:-1.097163386;1:-7.796859757;2:-2.337877092,0,0,3
tabicl,credit-g,3,125,0,92,2,31,3,120,0:-3.324495207;1:-4.809019788;2:-5.268162800,0:-2.508668162;1:-4.509894156;2:-4.821224800,0,0,3
tabicl,credit_card_clients_default,3,125,5,82,0,38,18,107,0:-0.619694044;1:-0.756248927;2:-0.758194118,0:-0.570193526;1:-0.961717105;2:-0.882328852,0,0,3
tabicl,diabetes,3,125,6,42,15,62,15,95,0:-0.559139785;1:-1.059926620;2:-1.296379079,0:-0.086021505;1:-0.570729719;2:-0.670540903,0,0,3
tabicl,hazelnut-spread-contaminant-detection,0,125,0,0,0,125,0,0,0:nan;1:nan;2:nan,0:nan;1:nan;2:nan,0,0,0
tabicl,healthcare_insurance_expenses,3,116,10,39,0,67,38,78,0:-0.698204285;1:-0.749625598;2:0.016523331,0:-0.556940411;1:-0.714806588;2:0.000005268,1,0,2
tabicl,heloc,3,125,2,59,3,61,19,103,0:-0.060937251;1:-0.834079118;2:-0.553181485,0:-0.020449293;1:-0.567396679;2:-0.503151101,0,0,3
tabicl,houses,3,116,10,71,6,29,20,90,0:-1.851251478;1:-1.381437067;2:-1.434046185,0:-1.783153068;1:-0.980757732;2:-1.440257562,0,0,3
tabicl,in_vehicle_coupon_recommendation,3,125,3,76,1,45,30,94,0:-1.076404448;1:-4.497385366;2:-0.770970907,0:-0.232748048;1:-3.826206472;2:-0.098373142,0,0,3
tabicl,jm1,3,125,0,99,1,25,14,110,0:-4.074536366;1:-3.128703307;2:-3.598572892,0:-3.494698942;1:-2.095704404;2:-2.385734338,0,0,3
tabicl,maternal_health_risk,3,125,0,53,20,52,18,87,0:-1.299812775;1:-9.221398056;2:-7.626707237,0:-0.572246288;1:-8.903683907;2:-9.168377935,0,0,3
tabicl,miami_housing,3,116,24,63,0,29,33,83,0:-0.928631961;1:-1.613634515;2:-0.764105164,0:-1.102332053;1:-1.646004375;2:-0.363083461,0,0,3
tabicl,online_shoppers_intention,3,125,1,86,0,38,15,110,0:-1.259337597;1:-1.925455895;2:-2.565075750,0:-0.630843867;1:-1.825035293;2:-2.335373375,0,0,3
tabicl,polish_companies_bankruptcy,0,125,0,0,0,125,0,0,0:nan;1:nan;2:nan,0:nan;1:nan;2:nan,0,0,0
tabicl,qsar-biodeg,3,125,1,63,4,57,8,113,0:-2.116991643;1:-3.950617284;2:-5.433070866,0:-2.089136490;1:-2.654320988;2:-4.724409449,0,0,3
tabicl,seismic-bumps,3,125,2,69,1,53,20,104,0:-1.063829787;1:-1.693766938;2:-4.005887919,0:-1.063829787;1:-0.977545490;2:-2.738933866,0,0,3
