model,dataset,source_id,pair,conceptual_family,joint_method_key,train_only_method_key,pair_quality,n_shared_folds,near_perfect_base,joint_mean_error,train_only_mean_error,baseline_mean_error,joint_vs_inductive_pct,train_only_vs_inductive_pct,joint_premium_vs_train_only_pct,joint_premium_on_inductive_scale_pct,absolute_error_decrease_joint_vs_train_only,joint_better_folds,tie_folds,joint_worse_folds
bag8,Bioresponse,source::Bioresponse,target_m10,target encoding,target_enc_ratio,target_enc_standard_m10,loose_regularization_sensitivity,3,False,0.12509248702085657,0.12509248702085657,0.12509248702085657,0.0,0.0,0.0,0.0,0.0,0,3,0
bag8,Bioresponse,source::Bioresponse,target_m20,target encoding,target_enc_ratio,target_enc_standard_m20,loose_regularization_sensitivity,3,False,0.12509248702085657,0.12509248702085657,0.12509248702085657,0.0,0.0,0.0,0.0,0.0,0,3,0
bag8,Bioresponse,source::Bioresponse,target_m5,target encoding,target_enc_ratio,target_enc_standard_m5,loose_regularization_sensitivity,3,False,0.12509248702085657,0.12509248702085657,0.12509248702085657,0.0,0.0,0.0,0.0,0.0,0,3,0
bag8,Diabetes130US,source::diabetes_130_us,frequency_combined,frequency encoding,joint_freq_combined,freq_enc_train_only,same_hyperparameters,3,False,0.35034766255869343,0.350886499007689,0.3529402335997825,0.7345637573382799,0.5818930222680003,0.15356431510456675,0.15267073507027962,0.0005388364489955499,1,0,2
bag8,Diabetes130US,source::diabetes_130_us,groupby_combined,group-by aggregation,joint_groupby_combined,groupby_train_only,same_hyperparameters,3,False,0.34878763285278463,0.3482788156524302,0.3529402335997825,1.1765733548266166,1.3207386133931491,-0.14609478885509689,-0.14416525856653242,-0.00050881720035445,0,0,3
bag8,Diabetes130US,source::diabetes_130_us,pca_10,principal component analysis,joint_pca_10,pca_train_only_10,same_hyperparameters,3,False,0.35286485313658805,0.352837045758918,0.3529402335997825,0.02135785496190239,0.029236633016315124,-0.007881082217498378,-0.007878778054412734,-2.7807377670052702e-05,1,0,2
bag8,Diabetes130US,source::diabetes_130_us,pca_5,principal component analysis,joint_pca_5,pca_train_only_5,same_hyperparameters,3,False,0.35301056807426884,0.3521552876311152,0.3529402335997825,-0.019928154341876562,0.22240195192860499,-0.242870254457048,-0.24233010627048154,-0.0008552804431536387,0,0,3
bag8,Diabetes130US,source::diabetes_130_us,pca_var90,principal component analysis,joint_pca_var90,pca_train_only_var90,same_hyperparameters,3,False,0.35281687200056516,0.35250555957671675,0.3529402335997825,0.03495254648616149,0.12315796888111076,-0.08831418835556183,-0.08820542239494927,-0.00031131242384840885,1,0,2
bag8,Diabetes130US,source::diabetes_130_us,pca_var95,principal component analysis,joint_pca_var95,pca_train_only_var95,same_hyperparameters,3,False,0.35286485313658805,0.352837045758918,0.3529402335997825,0.02135785496190239,0.029236633016315124,-0.007881082217498378,-0.007878778054412734,-2.7807377670052702e-05,1,0,2
bag8,Diabetes130US,source::diabetes_130_us,scaling_train_only,scaling,joint_scaling,train_only_scaling,closer_pair_but_cat_encoding_also_differs,3,False,0.3529402335997825,0.3529402335997825,0.3529402335997825,0.0,0.0,0.0,0.0,0.0,0,3,0
bag8,Diabetes130US,source::diabetes_130_us,target_m10,target encoding,target_enc_ratio,target_enc_standard_m10,loose_regularization_sensitivity,3,False,0.36087818739576133,0.36052681963750005,0.3529402335997825,-2.2490929172388148,-2.1495384531082924,-0.09745953397158336,-0.09955446413052269,-0.0003513677582612784,0,0,3
bag8,Diabetes130US,source::diabetes_130_us,target_m20,target encoding,target_enc_ratio,target_enc_standard_m20,loose_regularization_sensitivity,3,False,0.36087818739576133,0.35767272045153975,0.3529402335997825,-2.2490929172388148,-1.3408748567678663,-0.8962011249208146,-0.9082180604709487,-0.00320546694422158,0,0,3
bag8,Diabetes130US,source::diabetes_130_us,target_m5,target encoding,target_enc_ratio,target_enc_standard_m5,loose_regularization_sensitivity,3,False,0.36087818739576133,0.3637311505780528,0.3529402335997825,-2.2490929172388148,-3.0574346450132035,0.7843604205351752,0.8083417277743888,0.002852963182291446,3,0,0
bag8,E-CommereShippingData,source::E-CommereShippingData,frequency_combined,frequency encoding,joint_freq_combined,freq_enc_train_only,same_hyperparameters,3,False,0.2595955419785389,0.2588196632027799,0.25874591438248,-0.3283636760358515,-0.028502409584273535,-0.2997758231186381,-0.29986126645157796,-0.0007758787757590202,1,0,2
bag8,E-CommereShippingData,source::E-CommereShippingData,groupby_combined,group-by aggregation,joint_groupby_combined,groupby_train_only,same_hyperparameters,3,False,0.26008919582442236,0.26056691817737626,0.25874591438248,-0.5191507835585367,-0.7037806951434321,0.18333960285346015,0.18462991158489545,0.0004777223529539021,2,0,1
bag8,E-CommereShippingData,source::E-CommereShippingData,pca_10,principal component analysis,joint_pca_10,pca_train_only_10,same_hyperparameters,3,False,0.25845357908797456,0.2614565624199597,0.25874591438248,0.11298160792340876,-1.0476099860161538,1.148559173344303,1.1605915939395626,0.0030029833319851207,3,0,0
bag8,E-CommereShippingData,source::E-CommereShippingData,pca_5,principal component analysis,joint_pca_5,pca_train_only_5,same_hyperparameters,3,False,0.25719208463186144,0.2569199240589945,0.25874591438248,0.6005233954425622,0.7057078863808933,-0.10593206185303393,-0.10518449093833118,-0.00027216057286694184,1,0,2
bag8,E-CommereShippingData,source::E-CommereShippingData,pca_var90,principal component analysis,joint_pca_var90,pca_train_only_var90,same_hyperparameters,3,False,0.25719208463186144,0.2569199240589945,0.25874591438248,0.6005233954425622,0.7057078863808933,-0.10593206185303393,-0.10518449093833118,-0.00027216057286694184,1,0,2
bag8,E-CommereShippingData,source::E-CommereShippingData,pca_var95,principal component analysis,joint_pca_var95,pca_train_only_var95,same_hyperparameters,3,False,0.25845357908797456,0.2614565624199597,0.25874591438248,0.11298160792340876,-1.0476099860161538,1.148559173344303,1.1605915939395626,0.0030029833319851207,3,0,0
bag8,E-CommereShippingData,source::E-CommereShippingData,scaling_train_only,scaling,joint_scaling,train_only_scaling,closer_pair_but_cat_encoding_also_differs,3,False,0.25986981804607767,0.25974085912115225,0.25874591438248,-0.43436576236573776,-0.38452577736222643,-0.049649071525275666,-0.04983998500351136,-0.00012895892492542638,0,1,2
bag8,E-CommereShippingData,source::E-CommereShippingData,target_m10,target encoding,target_enc_ratio,target_enc_standard_m10,loose_regularization_sensitivity,3,False,0.2593065499044503,0.2593065499044503,0.25874591438248,-0.2166741543758411,-0.2166741543758411,0.0,0.0,0.0,0,3,0
bag8,E-CommereShippingData,source::E-CommereShippingData,target_m20,target encoding,target_enc_ratio,target_enc_standard_m20,loose_regularization_sensitivity,3,False,0.2593065499044503,0.2593065499044503,0.25874591438248,-0.2166741543758411,-0.2166741543758411,0.0,0.0,0.0,0,3,0
